实体1,QID,关系,实体2,QID.1
安吉洛·奎里尼,Q536447,崇拜,卡洛·洛多利,Q601642
安吉洛·奎里尼,Q536447,师从,卡洛·洛多利,Q601642
菲利波·法尔塞蒂,Q16556042,尊敬,卡洛·洛多利,Q601642
卡纳莱托,Q182664,结识,卡洛·洛多利,Q601642
维森蒂尼,Q605690,结识,卡洛·洛多利,Q601642
维特鲁威,Q47163,影响,卡洛·洛多利,Q601642
亚历山德罗·隆吉,Q1855242,绘制,卡洛·洛多利,Q601642
詹巴蒂斯塔·帕斯夸里,表中无ID,敬佩,卡洛·洛多利,Q601642
霍华德·希巴德,Q12020451,研究,卡洛·马德诺,Q122328
枢机主教佩雷蒂蒙塔尔托,Q133350,聘请,卡洛·马德诺,Q122328
安东尼奥·巴尔贝里尼,Q599744,委托,卡洛·马拉塔,Q538998
安东尼奥·巴尔贝里尼,Q599744,转向,卡洛·马拉塔,Q538998
安东尼奥·德格里·埃菲蒂,表中无ID,委托,卡洛·马拉塔,Q538998
安东尼奥·德格里·埃菲蒂,表中无ID,委托,卡洛·马拉塔,Q538998
查尔斯·福克斯,表中无ID,委托,卡洛·马拉塔,Q538998
吉安·彼得罗·贝洛里,Q714400,支持,卡洛·马拉塔,Q538998
吉安·彼得罗·贝洛里,Q714400,协助,卡洛·马拉塔,Q538998
吉安·彼得罗·贝洛里,Q714400,偏爱,卡洛·马拉塔,Q538998
卡米洛·马西斯米,Q1081427,委托,卡洛·马拉塔,Q538998
卡米洛·马西斯米,Q1081428,监督,卡洛·马拉塔,Q538998
卡米洛·马西斯米,Q1081418,推荐,卡洛·马拉塔,Q538998
克莱门特九世,Q155961,委托,卡洛·马拉塔,Q538998
克莱门特九世,Q155961,赞助,卡洛·马拉塔,Q538998
克莱门特十世,Q155956,赞助,卡洛·马拉塔,Q538998
洛伦佐·奥诺弗里奥·科隆纳,Q3837032,委托,卡洛·马拉塔,Q538998
马尔凯斯·德尔·卡皮奥,Q380763,委托,卡洛·马拉塔,Q538998
内格罗尼主教,Q3105203,委托,卡洛·马拉塔,Q538998
托马斯·伊舍姆爵士,Q16848721,委托,卡洛·马拉塔,Q538998
托马斯·伊舍姆爵士,Q16848721,委托,卡洛·马拉塔,Q538998
托马索·鲁福,Q2661419,委托,卡洛·奇尼亚尼,Q239980
洛多维科·弗内莱托,Q106498283,委托,卡纳莱托,Q182664
彼得罗·泰斯塔,Q2155480,绘制,卡米洛·马斯西米,Q1081418
克莱门特十世,Q155956,任命,卡米洛·马斯西米,Q1081418
帕加尼诺·高登齐,Q2046132,通信,卡米洛·马斯西米,Q1081418
帕加尼诺·高登齐,Q2046132,创作,卡米洛·马斯西米,Q1081418
亚历山大七世,Q127254,任命,卡米洛·马斯西米,Q1081418
埃尔科莱·费拉塔,Q1348674,争议,卡米洛·帕姆菲利,Q2935138
弗兰西斯科·巴拉塔,Q5479199,争议,卡米洛·帕姆菲利,Q2935138
卡米洛·阿斯托利,Q2935133,继承,卡米洛·帕姆菲利,Q2935138
唐娜·奥林匹娅,Q260170,反对,卡米洛·帕姆菲利,Q2935138
因诺森特十世,Q101266,提拔,卡米洛·帕姆菲利,Q2935138
W.G.康斯太勃尔,Q8009777,研究,卡纳莱托,Q182664
安东尼奥·孔蒂,Q2087202,赞扬,卡纳莱托,Q182664
安东尼奥·玛丽亚·扎内蒂,Q944948,欣赏,卡纳莱托,Q182664
贝德福德公爵约翰·拉塞尔,Q335406,雇佣,卡纳莱托,Q182664
查尔斯·德·布罗塞斯,Q725718,评论,卡纳莱托,Q182664
弗朗西斯科·阿尔加罗蒂,Q439081,认识,卡纳莱托,Q182664
弗朗西斯科·阿尔加罗蒂,Q439081,赞美,卡纳莱托,Q182664
贾科莫·阿米戈尼,Q380897,邀请,卡纳莱托,Q182664
卡莱尔伯爵,表中无ID,雇佣,卡纳莱托,Q182664
罗伯特·赫维爵士,表中无ID,雇佣,卡纳莱托,Q182664
马歇尔·舒伦伯格,Q70910,委托,卡纳莱托,Q182664
马歇尔·舒伦伯格,Q70910,联系,卡纳莱托,Q182664
麦克斯威尼,Q5102690,邀请,卡纳莱托,Q182664
麦克斯威尼,Q5102690,委托,卡纳莱托,Q182664
欧文·麦克斯维尼,Q5102690,委托,卡纳莱托,Q182664
威廉·贝克福德,Q361026,评论,卡纳莱托,Q182664
西吉斯蒙德·施特赖特,Q90687,赞助,卡纳莱托,Q182664
西吉斯蒙德·施特赖特,Q90687,联系,卡纳莱托,Q182664
约瑟夫·史密斯,Q476702,推荐,卡纳莱托,Q182664
约瑟夫·史密斯,Q476702,委托,卡纳莱托,Q182664
约瑟夫·史密斯,Q476702,委托,卡纳莱托,Q182664
约瑟夫·史密斯,Q476702,赞助,卡纳莱托,Q182664
约瑟夫·史密斯,Q476702,联系,卡纳莱托,Q182664
扎卡里亚·萨格雷多,Q97446740,雇佣,卡纳莱托,Q182664
阿马德奥·斯瓦杰,德国商人，无ID,委托,卡诺瓦,Q5547
阿马德奥·斯瓦杰,德国商人，无ID,委托,卡诺瓦,Q5547
安吉洛·奎里尼,Q536447,委托,卡诺瓦,Q5547
安吉洛·奎里尼,Q536447,委托,卡诺瓦,Q5547
尤西比奥,Q104804972,结交,卡萨诺瓦,Q83321
安东尼奥·玛丽亚·扎内蒂,Q944948,雕刻,卡斯蒂廖内,Q40823
弗朗切斯科·阿尔加罗蒂,Q439081,评论,卡斯蒂廖内,Q40823
弗朗西斯科·阿尔加罗蒂,Q439081,评价,卡斯蒂廖内,Q40823
西蒙内利,Q97072945,出版,卡斯蒂廖内,Q40823
彼得罗·贝尔尼尼,Q712397,讽刺,卡西亚诺·达尔·波佐,Q1048333
彼得罗·泰斯塔,Q2155480,创作,卡西亚诺·达尔·波佐,Q1048333
布克哈特,Q3166189,遗赠,卡西亚诺·达尔·波佐,Q1048333
布克哈特,Q3166189,通信,卡西亚诺·达尔·波佐,Q1048333
布克哈特,Q3166189,拜访,卡西亚诺·达尔·波佐,Q1048333
德安德烈斯,Q87591265,讨论,卡西亚诺·达尔·波佐,Q1048333
费兰特·卡洛,Q98111606,结交,卡西亚诺·达尔·波佐,Q1048333
弗朗切斯科·巴尔贝里尼,Q2662344,结识,卡西亚诺·达尔·波佐,Q1048333
哈里斯,Q18934849,讨论,卡西亚诺·达尔·波佐,Q1048333
卡洛·安东尼奥·达尔·波佐,Q21555612,兄弟,卡西亚诺·达尔·波佐,Q1048333
克里斯蒂娜女王,Q52937,通信,卡西亚诺·达尔·波佐,Q1048333
帕加尼诺·高登齐,Q2046132,交流,卡西亚诺·达尔·波佐,Q1048333
乌尔班八世,Q131579,任命,卡西亚诺·达尔·波佐,Q160538
乌尔班八世,Q131579,任命,卡西亚诺·达尔·波佐,Q1048333
约瑟夫·史密斯,Q476702,结婚,凯瑟琳·托夫茨,Q16859603
马歇尔·舒伦伯格,Q70910,认识,凯斯勒,Q1693874
弗拉维奥·奇吉,Q368700,委托,科达奇,Q2553051
卡西亚诺,Q1048333,赞助,科达奇,Q2553051
马歇尔·舒伦伯格,Q70910,委托,科拉迪尼,Q601707
费迪南德大公,Q465178,委托,科拉多·贾昆托,Q740934
路易十四,Q7742,雇用,科拉多·贾昆托,Q740934
约瑟夫·史密斯,Q476702,认识,科林·坎贝尔,Q254245
约瑟夫·史密斯,Q476702,认识,科伦·坎贝尔,Q254245
罗萨尔巴·卡列拉,Q237726,结识,科佩尔,Q585926
费迪南德大公,Q465178,父亲,科西莫三世,Q47292
克劳斯·兰克海特,Q1119207,研究,科西莫三世,Q47292
亚历山德罗·法尔内塞,Q248459,保留,克莱里亚,Q2978781
亚历山德罗·法尔内塞,Q248459,父亲,克莱里亚,Q2978781
马菲奥·巴尔贝里尼,Q131579,陪同,克莱门特八世,Q170395
朱利奥·罗斯皮格里奥西,Q155961,成为,克莱门特九世,Q155961
卡洛·雷佐尼科,Q133121,成为,克莱门特十三世,Q133121
范·拉尔,Q576907,影响,克劳德,Q214074
戈佛雷多·沃尔斯,Q3109847,教导,克劳德,Q214074
戈佛雷多·沃尔斯,Q3109847,影响,克劳德,Q214074
卡西亚诺,Q1048333,赞助,克劳德,Q214074
洛伦佐·奥诺弗里奥,Q3837032,赞助,克劳德,Q214074
洛伦佐·奥诺弗里奥,Q3837032,雇佣,克劳德,Q214074
马斯西米,Q3297734,赞助,克劳德,Q214074
西蒙内利,Q97072945,介绍,克劳德,Q214074
保罗·焦尔达诺,Q519364,赞助,克劳德·洛兰,Q214074
弗朗西斯科·阿尔加罗蒂,Q439081,评价,克劳德·洛兰,Q214074
弗朗西斯科·巴尔贝里尼,Q2662344,赞助,克劳德·洛兰,Q214074
卡米洛·马西斯米,Q1081429,委托,克劳德·洛兰,Q214074
莱奥波尔多·德·美第奇,Q968920,委托,克劳德·洛兰,Q214074
马尔凯塞·朱斯蒂尼亚尼,Q1396468,赞助,克劳德·洛兰,Q214074
乌尔班八世,Q131579,委托,克劳德·洛兰,Q214074
费迪南德大公,Q465178,委托,克雷斯皮,Q528620
费迪南德大公,Q465178,资助,克雷斯皮,Q528620
弗朗西斯科·阿尔加罗蒂,Q439081,评价,克雷斯皮,Q528620
萨沃伊尤金大公,Q610738,委托,克雷斯皮,Q3266428
弗朗西斯科·阿尔加罗蒂,Q439081,雇用,克里斯蒂安·威廉·恩斯特·迪特里希,Q536581
保罗·焦尔达诺,Q519364,接待,克里斯蒂娜女王,Q52938
保罗·焦尔达诺,Q519364,通信,克里斯蒂娜女王,Q52938
冯·普拉滕,Q6051457,研究,克里斯蒂娜女王,Q52938
费迪南德大公,Q465178,赞助,克里斯托法诺·莫纳里,Q1081139
里维埃拉,表中无ID,委托,克里斯托弗·达尔·阿夸,Q5186480
埃尔科莱·普罗卡奇尼,Q3056023,指导,克里斯托弗·斯托勒,表中无ID
费迪南德大公,Q465178,委托,克里斯托弗·斯托勒,表中无ID
安东尼奥·玛丽亚·扎内蒂,Q944948,朋友,克罗扎特,Q2007354
安东尼奥·玛丽亚·扎内蒂(老),Q944948,结识,克罗扎特,Q2007354
卡勒斯伯爵,Q2734012,探讨,安东尼奥·孔蒂,Q2087202
萨尔瓦多·罗萨,Q359421,遗赠,拉法埃洛·马尔凯西,表中无ID
阿戈斯蒂诺·奇吉,Q395635,友谊,拉斐尔,Q5597
阿戈斯蒂诺·奇吉,Q395635,雇佣,拉斐尔,Q5597
弗朗西斯科·阿尔加罗蒂,Q439081,评价,拉斐尔,Q5597
萨索费拉托,Q1345289,模仿,拉斐尔,Q5597
弗兰西斯·哈斯克尔,Q320477,引用,拉扎里尼,Q1384461
卡纳莱托,Q182664,认识,拉扎里尼,Q1384461
枢机主教德·德阿达,Q968920,邀请,拉扎里尼,Q1384461
枢机主教德·德阿达,Q968920,委托,拉扎里尼,Q1384461
弗朗切斯科·巴尔贝里尼,Q2662344,委托,拉扎罗·巴尔迪,Q3220072
保罗·弗雷亚特·德·钱特娄,Q3371258,出版,莱昂纳多·达·芬奇,Q762
卡西亚诺·达尔·波佐,Q1048333,整理,莱昂纳多·达·芬奇,Q762
唐·彼得罗·安东尼奥·托尼,Q2374666,购买,莱昂纳多·帕斯奎蒂,表中无ID
克里斯托弗·伊万诺维奇,Q3246893,评价,莱昂纳多·佩萨罗,表中无ID
莱昂内洛·普皮,Q18224381,研究,莱昂纳多·瓦尔马拉纳,表中无ID
约瑟夫·史密斯,Q476702,认识,莱昂内尔·库斯特,Q6555603
M.穆拉罗,Q19997568,研究,莱奥波尔多·德·美第奇,Q968920
格洛丽亚·基亚里尼·德·安娜,表中无ID,研究,莱奥波尔多·德·美第奇,Q968920
桑德里娜·班德拉,Q106678699,研究,莱奥波尔多·德·美第奇,Q968920
西尔维娅·梅洛尼,表中无ID,研究,莱奥波尔多·德·美第奇,Q968920
雅各布·萨尔维亚蒂,表中无ID,代理,莱奥波尔多·德·美第奇,Q968920
约瑟夫·史密斯,Q476702,认识,莱维,Q532695
枢机主教蒙塔尔托,Q133350,支持,兰弗兰科,Q447730
特纳,Q110243718,研究,兰弗兰科,Q447730
卡西亚诺,Q1048333,赞助,勒梅尔,Q212445
马歇尔·舒伦伯格,Q70910,认识,雷德里克王子,Q152428
蒙特利伯爵,Q3845070,委托,里贝拉,Q297838
罗萨尔巴·卡列拉,Q237726,结识,里戈,Q49898
约瑟夫·史密斯,Q476702,认识,理查德·米德,表中无ID
弗朗西斯科·阿尔加罗蒂,Q439081,认识,理查德·米德博士,表中无ID
卡米洛·马西斯米,Q1081430,接待,理查德·米德博士,表中无ID
约瑟夫·史密斯,Q476702,认识,理查德·威尔逊,Q471387
斯特兰奇,表中无ID,推荐,理查德·沃斯利,Q7528684
费迪南德大公,Q465178,赞助,利维奥·梅胡斯,Q1776687
克劳斯·兰克海特,Q1119207,研究,列支敦士登大公,表中无ID
安东尼奥·玛丽亚·扎内蒂,Q944948,赠送,列支敦士登亲王,表中无ID
利奥波德一世皇帝,Q150494,雇用,卢多维科·奥塔维奥·博纳西尼,Q3836364
枢机主教奥托博尼,Q101294,委托,卢多维科·大卫,Q6698987
托马斯·伊舍姆爵士,Q16848721,委托,卢多维科·吉米尼亚尼,Q3839112
格里高利十五世,Q132692,教导,卢多维科·卢多维西,Q707750
格里高利十五世,Q132692,叔叔,卢多维科·卢多维西,Q707750
教皇格里高利十五世,Q132692,任命,卢多维科·卢多维西,Q707750
亚历山大七世,Q127254,驱逐,卢多维科·卢多维西,Q707750
布克哈特,Q3166189,交流,卢卡·霍尔斯特尼乌斯,表中无人名
帕加尼诺·高登齐,Q2046132,合作,卢卡·霍尔斯特尼乌斯,表中无人名
埃克塞特勋爵五世,表中无ID,委托,卢卡·焦尔达诺,Q332494
奥地利大公,Q437295,雇用,卢卡·焦尔达诺,Q332494
费迪南德大公,Q465178,委托,卢卡·焦尔达诺,Q332494
加斯帕尔·如莫尔,Q3098722,支持,卢卡·焦尔达诺,Q332494
尼科洛·梅拉尼科尼奇,Q1625828,学习于,卢卡·焦尔达诺,Q332494
费迪南德大公,Q465178,委托,卢卡·卡尔瓦里杰斯,Q2704669
马歇尔·舒伦伯格,Q70910,认识,卢卡·卡莱瓦瑞斯,Q2704669
西吉斯蒙德·施特赖特,Q90687,认识,卢卡·卡莱瓦瑞斯,Q2704669
利奥波德一世皇帝,Q150494,聘请,卢卡斯·冯·希尔德布兰特,Q84507
安吉洛·奎里尼,Q536447,崇敬,卢梭,Q6527
乔瓦尼·巴蒂斯塔·比菲,Q16559762,崇拜,卢梭,Q6527
菲利普四世,Q691402,雇用,鲁本斯,Q5599
费迪南德大公,Q465178,委托,鲁本斯,Q5599
弗朗西斯科·阿尔加罗蒂,Q439081,认识,鲁道夫·帕卢奇尼,Q3438258
埃利斯·沃特豪斯,Q3051533,反驳,鲁道夫·威特科尔,Q215999
弗朗西斯科·阿尔加罗蒂,Q439081,认识,路德维希·安东·穆拉托里,Q471529
让-巴蒂斯特·科尔伯特,Q47115665,否决,路易·勒沃,Q310530
菲利波·法尔塞蒂,Q16556042,聘请,路易吉·波兹,表中无ID
菲利波·法尔塞蒂,Q16556042,雇佣,路易吉·波兹,表中无ID
弗朗西斯科·阿尔加罗蒂,Q439081,认识,路易吉·法拉利,Q64735620 (不确定）
维克多·玛丽·德斯特雷,Q1346624,摆脱,路易十四,Q7742
萨沃伊尤金大公,Q610738,委托,路易斯·多里尼,Q2308644
安东尼奥·玛丽亚·扎内蒂,Q944948,收藏,伦勃朗,Q5598
马歇尔·舒伦伯格,Q70910,认识,伦勃朗,Q5598
弗朗西斯科·阿尔加罗蒂,Q439081,认识,罗伯特·哈尔斯班德,Q332499
弗朗西斯科·阿尔加罗蒂,Q439081,赠画,罗伯特·沃尔波尔,Q104190
约瑟夫·史密斯,Q476702,款待,罗伯特·亚当,表中无ID
弗朗西斯科·阿尔加罗蒂,Q439081,推荐,贝恩哈德·罗德,Q465314
弗朗西斯科·阿尔加罗蒂,Q439081,影响,贝恩哈德·罗德,Q465314
福斯蒂娜·萨沃格南,表中无ID,结婚,罗多维科·雷佐尼科,表中无ID
约瑟夫·史密斯,Q476702,认识,罗杰·莫里斯,Q370192
约瑟夫·史密斯,Q476702,认识,罗金厄姆勋爵,Q378043
弗朗切斯科·巴尔贝里尼,Q2662344,委托,罗曼内利,Q2983846
弗朗切斯科·巴尔贝里尼,Q2662344,支持,罗曼内利,Q2983846
费迪南德大公,Q465178,赞助,罗莫洛·潘菲,Q16853915
帕瑟里,Q962495,评论,罗萨,Q359421
安东尼奥·玛丽亚·扎内蒂,Q944948,收藏,罗萨尔巴·卡列拉,Q237726
安东尼奥·玛丽亚·扎内蒂(老),Q944948,影响,罗萨尔巴·卡列拉,Q237726
奥古斯都三世,Q53438,委托,罗萨尔巴·卡列拉,Q237726
弗雷德里克四世,Q161059,委托,罗萨尔巴·卡列拉,Q237726
克里斯蒂安·科尔,无ID,说服,罗萨尔巴·卡列拉,Q237726
克里斯蒂安·科尔,无ID,推荐,罗萨尔巴·卡列拉,Q237726
马歇尔·舒伦伯格,Q70910,认识,罗萨尔巴·卡列拉,Q237726
皮埃尔·克罗泽特,Q2007354,赞助,罗萨尔巴·卡列拉,Q237726
皮埃尔·克罗泽特,Q2007354,款待,罗萨尔巴·卡列拉,Q237726
约翰·威廉选帝侯,Q64266,邀请,罗萨尔巴·卡列拉,Q237726
约瑟夫·史密斯,Q476702,赞助,罗萨尔巴·卡列拉,Q237726
朱斯蒂尼亚娜·温妮,Q466860,结婚,罗森伯格伯爵,表中无ID
朱斯蒂尼亚娜·温妮,Q466860,妻子,罗森伯格伯爵,表中无ID
朱斯蒂尼亚娜·温妮,Q466860,嫁给,罗森伯格伯爵,表中无ID
阿巴特·奥尔特斯,Q545098,通信,卡洛·洛多利,Q601642
培根,Q37388,影响,卡洛·洛多利,Q601642
希皮奥内·马菲,Q3831958,探讨,卡洛·洛多利,Q601642
安德里亚·梅莫,Q1052776,学生,卡洛·洛多利,Q601642
安德里亚·梅莫,Q1052776,认识,卡洛·洛多利,Q601642
约瑟夫·史密斯,Q476702,认识,洛多维科·加布里埃利,表中无ID
詹巴蒂斯塔·阿古奇,Q3766546,委托,洛多维科·卡拉奇,Q380553
费迪南德大公,Q465178,委托,洛伦齐尼,Q2356563
费迪南德大公,Q465178,学习,洛伦齐尼,Q2356563
玛丽亚·曼奇尼,Q242532,结婚,洛伦佐·奥诺弗里奥,Q3837032
玛丽亚·曼奇尼,Q242532,离开,洛伦佐·奥诺弗里奥,Q3837032
奥古斯都三世,Q53438,雇用,洛伦佐·罗西,表中无ID
弗朗西斯科·阿尔加罗蒂,Q439081,评价,洛伦佐·马蒂埃利,Q1455126
萨沃伊尤金大公,Q610738,雇用,洛伦佐·马蒂埃利,Q1455126
约瑟夫·史密斯,Q476702,认识,洛伦佐·马西尼,表中无ID
埃克塞特勋爵,表中无ID,委托,洛伦佐·帕辛内利,Q1645684
克塞特勋爵五世,Q15989977,委托,洛伦佐·帕辛内利,Q1645684
安杰洛·切西,Q28109298,任命,马蒂诺·隆吉,Q349522
费迪南德大公,Q465178,赞助,马蒂亚·普雷蒂,Q468632
唐娜·奥林匹娅·马伊达尔齐尼,Q260170,委托,马蒂亚·普雷蒂,Q468632
莎拉·丘吉尔,Q19176,夫人,马尔堡公爵,Q153803
布克哈特,Q3166189,拜访,马尔凯塞·朱斯蒂尼亚尼,Q1396468
费迪南德大公,Q465178,赞助,马尔坎托尼奥·弗兰切斯基尼,Q2543592
保罗·吉罗拉莫·皮奥拉,Q3894101,拒绝,马尔切斯·尼科洛·玛丽亚·帕拉维奇尼,Q105105120
乌尔班八世,Q131579,任命,马费奥·巴贝里尼,Q131579
卢多维科·卢多维西,Q707750,反对,马费奥·巴尔贝里尼,Q131579
切萨雷·多诺弗里奥,Q93248382,研究,马费奥·巴尔贝里尼,Q131579
西克斯图斯五世,Q133350,影响,马费奥·巴尔贝里尼,Q131579
费迪南德·德·美第奇大公,Q465178,雇用,马格纳斯科,Q516941
福斯塔·弗朗西尼·圭尔菲,Q111282793,研究,马格纳斯科,Q516941
列支敦士登王子,表中无人名,委托,马坎通尼奥·弗兰切斯基尼,Q2543592
弗朗西斯科·阿尔加罗蒂,Q439081,认识,马可·范图兹,Q108068897（不确定）
埃米利奥·莫普戈,Q3724468,研究,马可·福斯卡里尼,Q1242215
安吉洛·奎里尼,Q536447,反对,马可·福斯卡里尼,Q1242215
德查尔斯·德·布罗塞斯,Q725718,评价,马可·福斯卡里尼,Q1242215
洛多维科·阿马尔迪,表中无ID,赞美,马可·福斯卡里尼,Q1242215
托马索·加,Q15720592,研究,马可·福斯卡里尼,Q1242215
安德鲁·方丹,Q4756994,雇用,马可·里奇,Q930162
安东尼奥·玛丽亚·扎内蒂,Q944948,朋友,马可·里奇,Q930162
安东尼奥·玛丽亚·扎内蒂,Q944948,委托,马可·里奇,Q930162
安东尼奥·玛丽亚·扎内蒂(老),Q944948,委托,马可·里奇,Q930162
伯灵顿勋爵,Q555723,雇用,马可·里奇,Q930162
马歇尔·舒伦伯格,Q70910,赞助,马可·里奇,Q930162
曼彻斯特勋爵,表中无ID,邀请,马可·里奇,Q930162
曼彻斯特勋爵,表中无ID,雇用,马可·里奇,Q930162
约瑟夫·史密斯,Q476702,赞助,马可·里奇,Q930162
弗兰西斯·哈斯克尔,Q320477,感谢,马克·安托尼奥·基亚里尼,Q93640385
尤金大公,Q152429,委托,马克·安托尼奥·基亚里尼,Q93640385
小安东尼奥·玛丽亚·扎内蒂,Q18507790,修订,马克·博斯基尼,Q662866
马斯西米,Q3297734,赞助,马拉塔,Q538998
安东尼奥·孔蒂,Q2087202,结识,马勒伯朗士,Q309818
费兰特·卡洛,Q98111606,联系,马里诺,Q332489
马歇尔·舒伦伯格,Q70910,认识,马列斯基,Q2501578
西吉斯蒙德·施特赖特,Q90687,认识,马列斯基,Q2501578
卡洛·洛多利,Q601642,批评,马萨里,Q976141
米科·斯帕达罗,Q1170226,描绘,马萨涅洛,Q735619
加斯帕尔·如莫尔,Q3098722,贿赂,马萨涅洛起义领导人,Q735619
彼得罗·泰斯塔,Q2155480,合作,马塞洛·萨凯蒂,Q6087600
乌尔班八世,Q131579,提拔,马塞洛·萨凯蒂,Q6087600
乌尔班八世,Q131579,任命,马塞洛·萨凯蒂,Q6087600
马菲奥·巴尔贝里尼,Q131579,委托,马泰奥·卡斯泰利,Q1909346
费迪南德大公,Q465178,委托,马西莫神父,表中无ID
约瑟夫·史密斯,Q476702,同时期,马歇尔·舒伦伯格,Q70910
彼得罗·贝尔尼尼,Q712397,拒绝,马扎林,不确定人名
费迪南德大公,Q465178,母亲,玛格丽特·德·奥尔良,Q268349
罗萨尔巴·卡列拉,Q237726,结识,玛里埃特,Q322341
费迪南德大公,Q465178,赠送,玛丽·德·美第奇,Q182021
费迪南多,Q714792,侄子,玛丽·德·美第奇,Q182021
鲁本斯,Q5599,绘制,玛丽·德·美第奇,Q182021
弗朗西斯科·阿尔加罗蒂,Q439081,不及,玛丽·泰雷丝·若弗兰,Q269865
弗朗西斯科·阿尔加罗蒂,Q439081,结识,玛丽·沃特利·蒙塔古夫人,Q235121
约瑟夫·史密斯,Q476702,认识,玛丽·沃特利·蒙塔古夫人,Q235121
弗兰西斯·哈斯克尔,Q320477,感谢,玛丽安·罗兰米歇尔,Q19997562
路易十四,Q7742,初恋,玛丽亚·曼奇尼,Q242532
枢机主教马扎林,Q166056,姑父,玛丽亚·曼奇尼,Q242532
路易十四,Q7742,结婚,玛丽亚·特蕾莎,Q111771530
马蒂诺·隆吉,Q349522,替代,玛泰奥·达·卡斯特罗,Q20246871
圣菲利普·内里,Q217791,合作,玛泰奥·达·卡斯特罗,Q20246871
约瑟夫·史密斯,Q476702,合作,麦克斯威尼,Q5102690
马可·里奇,Q930162,效力,曼彻斯特勋爵,表中无ID
佩莱格里尼,Q1358364,效力,曼彻斯特勋爵,表中无ID
彼得罗·爱德华兹,Q3903848,顾问,曼弗林,Q16560336
乔凡尼·安东尼奥·阿曼尼,表中无ID,称赞,曼弗林,Q16560336
文森佐·丰塔纳,Q4013275（不确定）,研究,曼弗林,Q16560336
弗朗西斯科·阿尔加罗蒂,Q439081,委托,曼奇尼,Q242532
法布里齐奥·阿拉贡纳,表中无ID,代理,曼图亚公爵,Q714792
加斯帕罗·贡萨加,Q714792,担任,曼图亚公爵,Q714792
弗朗西斯科·阿尔加罗蒂,Q439081,委托,毛罗·泰西,Q3301722
唐·文森佐·拉迪基奥,表中无ID,秘书,梅莫,Q1052776
约翰·斯特兰奇,Q6259378,通信,梅莫,Q1052776
西蒙内利,Q97072945,带领,蒙科尼,Q2262911
弗朗索瓦·诺米,Q1887392,别名,蒙苏·德西代里奥,Q1887392
枢机主教卢多维西,Q707750,干预,蒙塔尔托,Q109830266
奥利瓦雷斯伯爵,Q371833,姐夫,蒙特利伯爵,Q3845070
奥利瓦雷斯伯爵,Q371834,提拔,蒙特利伯爵,Q3845070
委拉斯贵支,Q297,拜访,蒙特利大使,Q3845070
卡洛·洛多利,Q601642,通信,孟德斯鸠,Q15975
卡洛·洛多利,Q601642,联系,孟德斯鸠,Q15975
保罗·焦尔达诺,Q519364,接待,弥尔顿,Q79759
安东尼奥·孔蒂,Q2087202,翻译,米尔顿,Q79759
安尼巴莱·卡拉奇,Q7829,影响,米开朗基罗·塞阔齐,Q979862
范·拉尔,Q576907,影响,米开朗基罗·塞阔齐,Q979862
费迪南德大公,Q465178,支持,米开朗基罗·塞阔齐,Q979862
弗拉维奥·奇吉,Q368700,委托,米开朗基罗·塞阔齐,Q979862
贾科莫·博尔戈尼奥内,Q1366347,合作,米开朗基罗·塞阔齐,Q979862
卡拉瓦乔,Q42207,影响,米开朗基罗·塞阔齐,Q979862
拉格吉伯爵,Q18340689,赞助,米开朗基罗·塞阔齐,Q979862
拉吉主教,表中无ID,崇拜,米开朗基罗·塞阔齐,Q979862
马萨涅洛,Q735619,激发,米开朗基罗·塞阔齐,Q979862
萨尔瓦多·罗萨,Q359421,批评,米开朗基罗·塞阔齐,Q979862
枢机主教弗拉维奥·奇吉,Q368700,委托,米开朗基罗·塞阔齐,Q979862
乌尔德里科·卡尔佩尼亚,Q980628,赞助,米开朗基罗·塞阔齐,Q979862
西尔维亚·卡兰迪尼,Q113801624,赞助,米开朗基罗·塞阔齐,Q979862
雅克·库尔图瓦,Q1366347,认识,米开朗基罗·塞阔齐,Q979862
亚历山大七世,Q127254,委托,米开朗基罗·塞阔齐,Q979862
扬·米尔,Q979945,合作,米开朗基罗·塞阔齐,Q979862
弗朗西斯科·阿尔加罗蒂,Q439081,认识,米凯莱西,Q5986198
费迪南德大公,Q465178,资助,米科·斯帕达罗,Q1170226
马歇尔·舒伦伯格,Q70910,委托,莫拉特,Q339474
马歇尔·舒伦伯格,Q70910,认识,莫拉西,Q19997480
安德烈亚·特隆,Q110224729,反对,莫罗西尼,Q34481
克莱门特九世,Q155961,支持,内格罗尼,Q3105203
因诺森特十一世,Q101286,支持,内格罗尼,Q3105203
布克哈特,Q3166189,通信,尼古拉·克劳德·法布里·德·佩雷斯克,Q440183
加布里埃尔·诺德,Q710176,通信,尼古拉·克劳德·法布里·德·佩雷斯克,Q440183
弗朗西斯科·阿尔加罗蒂,Q439081,赞赏,尼古拉·普桑,Q41554
费迪南德大公,Q465178,委托,尼古拉·萨尔维,Q1986231
弗朗切斯科·巴尔贝里尼,Q2662344,赞助,尼古拉斯·普桑,Q41554
弗朗切斯科·巴尔贝里尼,Q2662344,推荐,尼古拉斯·普桑,Q41554
吉安·彼得罗·贝洛里,Q714400,支持,尼古拉斯·普桑,Q41554
吉安巴蒂斯塔·马里诺,Q332489,赞助,尼古拉斯·普桑,Q41554
卡米洛·马西斯米,Q1081431,委托,尼古拉斯·普桑,Q41554
