章节,实体1,QID,关系,实体2,QID.1
第八章,托马索·鲁福,Q2661419,委托,《阿比盖尔送礼物给大卫》,A3
第六章,克劳德·洛兰,Q214074,创作,《阿波罗的献祭》,Q27895778
第六章,克劳德·洛兰,Q214074,绘制,《阿波罗的献祭》,Q27895778
第六章,克劳德·洛兰,Q214074,创作,《阿波罗的献祭》,Q27895778
第六章,唐·加斯帕罗·阿尔蒂里的父亲,表中无ID,委托,《阿波罗的献祭》,Q27895778
第七章,卡洛·马拉塔,Q538998,创作,《阿波罗和达芙妮》,Q118877400
第四章,普桑,Q41554,绘制,《阿波罗和达芙妮》,Q118877400
第四章,卡米洛·马西斯米,Q1081448,委托,《阿波罗和库马·西比尔海岸风景》,Q21725334
第七章,乔瓦尼·巴格里昂,Q983332,创作,《阿波罗和缪斯女神》,A30
第十章,迪特里希,Q536581,创作,《阿波罗指引他的勃艮第比阿特丽斯新娘》,A31
第十章,乔万尼·巴蒂斯塔·蒂耶波洛,Q186202,创作,《阿波罗指引他的勃艮第比阿特丽斯新娘》,A31
第十二章,加斯帕罗·高兹,Q1232518,撰写,《阿尔卑斯山的哲学家》,
第十二章,卢梭,Q6527,影响,《阿尔卑斯山的哲学家》,
第十二章,朱塞佩·福萨蒂,Q64138719,翻译,《阿尔卑斯山的哲学家》,
第十二章,德拉哈普,Q379022,创作,《阿尔卑斯山的哲学家》原作,
第十五章,朱斯蒂尼亚娜·温妮·罗森伯格,Q466860,撰写,《阿尔蒂基耶罗》,
第十章,乔万尼·巴蒂斯塔·西马洛里,Q3766629,创作,《阿格里皮娜被其子尼禄下令杀害》,A8
第四章,卡米洛·马西斯米,Q1081446,委托,《阿格斯守卫》,A35
第八章,费迪南德大公,Q465178,收藏,《阿基坦圣威廉》,
第八章,圭尔奇诺,Q334262,创作,《阿基坦圣威廉》,
第二章,尼古拉斯·普桑,Q41554,创作,《阿卡迪亚牧人》,
第四章,卡西亚诺·达尔·波佐,Q1048333,收藏,《阿卡迪亚牧人》,
第四章,卡西亚诺·达尔·波佐,Q1048333,收藏,《阿卡迪亚牧人》,
第七章,罗曼内利,Q2983846,创作,《阿里阿德涅被爱唤醒》,A36
第六章,吉罗拉莫·布鲁索尼,Q3768903,撰写,《阿洛里·德·欧罗塔》,
第一章,安东尼·卡诺瓦,Q5547,创作,《阿马德奥·斯瓦杰》雕像,
第六章,安东尼奥·德格里·埃菲蒂,表中无ID,收藏,《阿米达》,
第二章,乔瓦尼·达·圣乔瓦尼,Q1058463,创作,《阿穆芙莱特和欧罗巴》,
第一章,普桑,Q41554,创作,《阿什杜德的瘟疫》草图,
第六章,克劳德·洛兰,Q214074,创作,《阿斯卡尼俄斯射杀西尔维娅的雄鹿》,Q4803790
第六章,克劳德·洛兰,Q214074,创作,《阿斯卡尼俄斯射杀西尔维娅的雄鹿》,Q4803790
第六章,洛伦佐·奥诺弗里奥·科隆纳,Q3837032,委托,《阿斯卡尼俄斯射杀西尔维娅的雄鹿》,Q4803790
第十章,奥古斯都三世,Q53438,收藏,《埃及艳后的宴会》,
第十章,迪特里希,Q536581,创作,《埃及艳后的宴会》,
第十章,弗朗西斯科·阿尔加罗蒂,Q439081,购买,《埃及艳后的宴会》,
第十章,凯瑟琳大帝,Q36450,购买,《埃及艳后的宴会》,
第十章,乔万尼·巴蒂斯塔·蒂耶波洛,Q186202,创作,《埃及艳后的宴会》,
第六章,彼得罗·达·科尔托纳,Q333323,创作,《埃涅阿德的风景》,A196
第六章,彼得罗·达·科尔托纳,Q333323,绘制,《埃涅阿德的风景》,A196
第七章,贾科莫·安东尼奥·博尼,Q1053697,创作,《埃涅阿斯纪》系列,
第八章,安东尼奥·巴莱斯特拉,Q386500,创作,《埃涅阿斯寓言》,
第六章,克劳德·洛兰,Q214074,创作,《埃涅阿斯在拉提姆登陆》,Q119756834
第六章,克劳德·洛兰,Q214074,绘制,《埃涅阿斯在拉提姆登陆》,Q119756834
第六章,克劳德·洛兰,Q214074,创作,《埃涅阿斯在拉提姆登陆》,Q119756834
第六章,唐·加斯帕罗·阿尔蒂里,Q27999316,委托,《埃涅阿斯在拉提姆登陆》,Q119756834
第八章,格雷戈里奥·拉扎里尼,Q1384461,创作,《埃涅阿斯之战》,
第八章,费迪南德大公,Q465178,收藏,《安德洛玛克在埃涅阿斯面前哭泣》,A24
第八章,马尔坎托尼奥·弗兰切斯基尼,Q2543592,创作,《安德洛玛克在埃涅阿斯面前哭泣》,A24
第八章,乔万·奇奥塞弗·达尔·索莱,Q961329,创作,《安德洛玛克在埃涅阿斯面前哭泣》,A24
第十三章,阿尔布里兹,Q21748854,出版,《安东尼奥·马利亚·扎内蒂藏品图录》,
第十三章,安东尼奥·玛丽亚·扎内蒂,Q944948,编撰,《安东尼奥·马利亚·扎内蒂藏品图录》,
第十三章,安东尼奥·玛丽亚·扎内蒂(老),Q944948,编撰,《安东尼奥·马利亚·扎内蒂藏品图录》,
第十三章,弗朗切斯科·戈里,Q778529,评论,《安东尼奥·马利亚·扎内蒂藏品图录》,
第十三章,瑞典女王,Q52933,献礼,《安东尼奥·马利亚·扎内蒂藏品图录》,
第十三章,扎内蒂,Q944948,编撰,《安东尼奥·马利亚·扎内蒂藏品图录》,
第十三章,弗朗切斯科·戈里,Q778529,翻译,《安东尼奥·马利亚·扎内蒂藏品图录》评论,
第九章,迪特里希,Q536581,绘制,《安东尼和克利奥佩特拉的宴会》,Q77007619
第一章,迪特里希,Q536581,绘制,《安东尼和克利奥佩特拉的宴会》(巴黎版),
第一章,迪特里希,Q536581,绘制,《安东尼和克利奥佩特拉的宴会》(康纳克·杰伊博物馆版),
第一章,迪特里希,Q536581,绘制,《安东尼和克利奥佩特拉的宴会》(墨尔本版),
第一章,迪特里希,Q536581,创作,《安东尼和克利奥佩特拉的宴会》(维多利亚国家美术馆版),
第八章,费迪南德大公,Q465178,收藏,《安东尼和克利奥佩特拉的宴会》,Q77007619
第八章,弗朗西斯科·特雷维萨尼,Q963875,创作,《安东尼和克利奥佩特拉的宴会》,Q77007619
第九章,皮亚泽塔,Q282670,绘制,《安吉洛·卡斯特》,A25
第九章,迪特里希,Q536581,绘制,《安康圣母》,
第七章,卡洛·马拉塔,Q538998,创作,《奥古斯都关闭雅努斯神庙》,Q72671544
第九章,迪特里希,Q536581,绘制,《奥罗拉》,
第八章,德尔·罗索兄弟,,收藏,《巴比伦》,A37
第八章,费迪南德大公,Q465178,收藏,《巴比伦》,A37
第八章,弗朗索瓦·德·诺姆,Q1887392,创作,《巴比伦》,A37
第一章,博福特公爵,Q7585516,收藏,《巴德明顿风景》,Q40453567
第一章,卡纳莱托,Q182664,创作,《巴德明顿风景》,Q40453567
第一章,卡纳莱托,Q182664,绘制,《巴德明顿风景》,Q40453567
第二章,吉罗拉莫·迪·乔瓦尼·迪·卡梅里诺,,创作,《巴尔贝里尼年表》,A329
第七章,圭多·雷尼,Q109061,创作,《巴克斯和阿里阿德涅》,Q20881588
第九章,丰泰巴索,Q447991,绘制,《拜访亚伯拉罕的三位天使》,A272
第九章,丰泰巴索,Q447991,绘制,《拜访亚伯拉罕的三位天使》,A272
第一章,彼得罗·贝尔尼尼,Q712397,创作,《扮作大卫的自画像》,A197
第七章,圭多·雷尼,Q109061,创作,《绑架海伦》,Q118876935
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,委托,《保护者》,A363
第十四章,乔瓦尼·巴蒂斯塔·蒂耶波洛,Q186202,创作,《保护者》,A363
第九章,皮埃特罗·巴尔巴里戈,Q107565971,委托,《保护智慧的力量》,A209
第一章,奥塔维奥·莱奥尼,Q389768,绘制,《保罗·焦尔达诺·奥尔西尼》肖像,
第十七章,曼弗林,Q16560336,收藏,《暴风雨》,Q930137
第十七章,乔尔乔内,Q8459,创作,《暴风雨》,Q930137
第四章,卡西亚诺·达尔·波佐,Q1048333,委托,《暴风雨中的皮拉摩斯和忒贝》,A408
第四章,普桑,Q41554,绘制,《暴风雨中的皮拉摩斯和忒贝》,A408
第八章,费迪南德大公,Q465178,收藏,《贝塞斯达游泳池》,
第八章,维维亚诺·科达奇,Q2553051,创作,《贝塞斯达游泳池》,
第八章,费迪南德大公,Q465178,收藏,《被狗撕成碎片的王后耶洗别》,A450
第八章,吉罗拉莫·杜拉佐,表中无ID,收藏,《被狗撕成碎片的王后耶洗别》,A450
第八章,卢卡·焦尔达诺,Q332494,创作,《被狗撕成碎片的王后耶洗别》,A450
第十章,乔万·乔瑟福·达尔·索尔,Q961329,创作,《被基督打伤的圣特蕾莎》,A201
第五章,德·罗西,表中无ID,收藏,《被迦太基人杀死的雷古勒斯》,A188
第五章,萨尔瓦多·罗萨,Q359421,绘制,《被迦太基人杀死的雷古勒斯》,A188
第五章,萨尔瓦多·罗萨,Q359421,创作,《被迦太基人杀死的雷古勒斯》,A188
第一章,G.沃尔帕托,Q3107516,创作,《比萨的弗朗西斯科·阿尔加罗蒂墓前的哀悼者》,A380
第十三章,阿尔布里兹,Q21748854,出版,《壁画集锦》,
第十三章,小安东尼奥·玛丽亚·扎内蒂,Q18507790,著作,《壁画集锦》,
第十三章,小安东尼奥·玛丽亚·扎内蒂,Q18507790,出版,《壁画集锦》,
第十五章,安德里亚·梅莫,Q1052776,出版,《辩解词》,
第三章,皮埃尔·莱格罗斯,Q2093685,创作,《病榻上的圣斯坦尼斯拉斯·科斯特卡》雕塑,
第八章,费迪南德大公,Q465178,收藏,《波吉奥卡亚诺集市》,
第八章,朱塞佩·玛丽亚·克雷斯皮,Q528620,创作,《波吉奥卡亚诺集市》,
第十一章,乔万尼·巴蒂斯塔·西马洛里,Q3766629,创作,《波吕克塞娜》,
第六章,卡洛·德·罗西,表中无ID,拥有,《财富/命运》,
第六章,萨尔瓦托·罗萨,Q359421,创作,《财富/命运》,
第十二章,阿巴特·加利亚尼,Q979496,出版,《财富》,Q20087469
第一章,博福特公爵,Q7585516,收藏,《财富》,Q20087469
第一章,萨尔瓦多·罗萨,Q359421,创作,《财富》,Q20087469
第一章,卡洛·马拉塔,Q538998,创作,《查尔斯·福克斯》,A65
第一章,卡洛·马拉塔,Q538998,绘制,《查尔斯·福克斯》肖像,
第一章,伊尔切斯特伯爵,表中无ID,收藏,《查尔斯·福克斯》肖像,
第一章,弗朗切斯科·法内利,Q3749954,雕刻,《查尔斯一世》,A66
第一章,弗朗切斯科·法内利,Q3749954,塑造,《查尔斯一世》雕像,
第七章,凡·戴克,Q150679,创作,《查尔斯一世的孩子们》,
第六章,皮埃特罗·奥托博尼,Q101294,委托,《忏悔》,A226
第六章,朱塞佩·玛丽亚·克雷斯皮,Q528620,创作,《忏悔》,A226
第五章,米开朗基罗·达·卡拉瓦焦,Q42207,绘制,《尘世之爱》,Q474024
第五章,米开朗基罗·达·卡拉瓦焦,Q42207,创作,《尘世之爱》,Q474024
第九章,迪特里希,Q536581,绘制,《乘着火焰战车奔向天堂的以利亚》,A415
第五章,安尼巴莱·卡拉奇,Q7831,绘制,《吃豆子的人》,Q1232131
第五章,安尼巴莱·卡拉奇,Q7833,创作,《吃豆子的人》,Q1232131
第十一章,阿米格尼,Q380897,创作,《崇拜偶像的所罗门》,A198
第十一章,西吉斯蒙德·施特赖特,Q90687,收藏,《崇拜偶像的所罗门》,A198
第四章,安德烈·波德斯塔,Q4755099,制作,《崇拜维纳斯》,Q3743879
第七章,彼得·保罗·鲁本斯,Q5599,创作,《崇拜维纳斯》,Q3743879
第四章,提香,Q47551,创作,《崇拜维纳斯》,Q3743879
第七章,提香,Q47551,创作,《崇拜维纳斯》,Q3743879
第二章,提香,Q47551,创作,《崇拜维纳斯》,Q3743879
第四章,亚历山德罗·瓦罗塔里,Q1727824,临摹,《崇拜维纳斯》,Q3743879
第三章,乔瓦尼·兰弗兰科,Q447730,创作,《崇高的三位一体与基督受难的刑具的荣耀》,A6
第八章,安东·多梅尼科·加比亚尼,Q1083096,创作,《出埃及》,A98
第八章,费迪南德大公,Q465178,展示,《出埃及》,A98
第八章,费迪南德大公,Q465178,委托,《出埃及》,A98
第三章,卢多维科·大卫,Q6698987,创作,《出埃及》,A98
第一章,彼得罗·泰斯塔,Q2155480,创作,《出埃及途中的休息》,
第八章,贝加莫圣母圣殿堂,,委托,《穿越红海》,A75
第八章,费迪南德大公,Q465178,拒绝,《穿越红海》,A75
第八章,卢卡·焦尔达诺,Q332494,创作,《穿越红海》,A75
第八章,西罗·费里,Q975452,创作,《穿越红海》草图,
第十七章,吉安·彼得罗·贝洛里,Q714400,撰写,《传记》,
第十七章,乔瓦尼·普雷维塔利,Q3107317,撰写,《传记》批判性前言,
第十四章,安德里亚·拉扎里尼,Q3106991,创作,《从犁头上召唤出来的辛辛那图斯》,A71
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,收藏,《从犁头上召唤出来的辛辛那图斯》,A71
第一章,巴尔托洛齐,表中无ID,雕刻,《村庄风景》,A297
第一章,马可·里奇,Q930162,绘制,《村庄风景》,A297
第一章,马可·里奇,Q930162,创作,《村庄风景》,A297
第十三章,安东尼奥·玛丽亚·扎内蒂(老),Q944948,编辑,《达芙妮和克洛伊》,
第十三章,安东尼奥·玛丽亚·扎内蒂,Q944948,创作,《达芙妮和克洛伊》插图,A428
第六章,安东尼奥·德格里·埃菲蒂,表中无ID,收藏,《达那厄》,A78
第七章,贝内代托·吉纳里,Q580482,创作,《达娜厄》,
第十章,泰辛伯爵,Q1038496,购买,《达娜厄》,
第十三章,安德烈·布鲁斯托隆,Q3615560,雕刻,《大公爵典礼仪式》版画,
第十三章,卡马莱托,Q182664,绘制,《大公爵典礼仪式》素描,
第十三章,卡纳莱托,Q182664,创作,《大公爵典礼仪式》素描,
第十三章,洛多维科·弗内莱托,Q106498283,委托,《大公爵典礼仪式》素描,
第八章,贝加莫圣母圣殿堂,,委托,《大洪水》,Q118397664
第八章,彼得罗·利贝里,Q979467,创作,《大洪水》,Q118397664
第八章,费迪南德大公,Q465178,收藏,《大洪水》,Q118397664
第十四章,乔瓦尼·巴蒂斯塔·皮亚泽塔,Q282670,创作,《大流士之死》,Q50821144
第二章,圭多·雷尼,Q109061,创作,《大天使米迦勒践踏魔鬼》,Q109925916
第八章,费迪南德大公,Q465178,委托,《大卫》,Q766487
第七章,卡洛·马拉塔,Q538998,创作,《大卫》,Q766487
第八章,詹南托尼奥·富米亚尼,Q1432600,创作,《大卫》,Q766487
第一章,彼得·穆尔斯,Q7175941,收藏,《大主教蒂洛森寓言式纪念墓地》,Q29651135
第一章,卡纳莱托,Q182664,创作,《大主教蒂洛森寓言式纪念墓地》,Q29651135
第一章,卡纳莱托,Q182664,创作,《大主教蒂洛森寓言式纪念墓地》,Q29651135
第一章,乔万尼·巴蒂斯塔·西马洛里,Q3766629,创作,《大主教蒂洛森寓言式纪念墓地》,Q29651135
第一章,乔万尼·巴蒂斯塔·西马洛里,Q3766629,创作,《大主教蒂洛森寓言式纪念墓地》,Q29651135
第一章,乔万尼·巴蒂斯塔·西马洛里,Q3766629,创作,《大主教蒂洛森寓言式纪念墓地》,Q29651135
第一章,詹巴蒂斯塔·皮托尼,Q982011,创作,《大主教蒂洛森寓言式纪念墓地》,Q29651135
第七章,萨尔瓦多·罗萨,Q359421,创作,《带有阿波罗的风景》,Q106584403
第一章,吉多·阿巴蒂尼,Q282810,创作,《带有巴尔贝里尼宫的奎琳岗风景》,A7
第八章,费迪南德大公,Q465178,收藏,《戴安娜和阿克特翁》,A368
第八章,塞巴斯蒂亚诺·里奇,Q26878812,创作,《戴安娜和阿克特翁》,A368
第八章,费迪南德大公,Q465178,购买,《戴安娜和恩迪米翁半身像》,
第八章,朱塞佩·马扎,Q3108086,创作,《戴安娜和恩迪米翁半身像》,
第七章,尼古拉斯·普桑,Q41554,创作,《戴安娜和恩底弥翁》,A332
第八章,费迪南德大公,Q465178,收藏,《戴安娜和卡里斯托》,A89
第八章,塞巴斯蒂亚诺·里奇,Q26878812,创作,《戴安娜和卡里斯托》,A89
第二章,多梅尼基诺,Q320118,创作,《戴安娜狩猎》,
第十一章,西吉斯蒙德·施特赖特,Q90687,收藏,《戴着眼镜的老妇人》,A406
第十一章,朱塞佩·诺加里,Q465422,创作,《戴着眼镜的老妇人》,A406
第八章,费迪南德大公,Q465178,收藏,《黛博拉和巴拉克》,Q50986222
第八章,弗朗切斯科·索利梅纳,Q736065,创作,《黛博拉和巴拉克》,Q50986222
第八章,吉罗拉莫·杜拉佐,表中无ID,收藏,《黛博拉和巴拉克》,Q50986222
第五章,米开朗基罗·塞阔齐,Q979862,绘制,《到达别墅》,A214
第五章,塞阔齐,Q979862,绘制,《到达别墅》,A214
第九章,皮亚泽塔,Q282670,绘制,《道明会三圣》,
第四章,卡米洛·马西斯米,Q1081442,委托,《德尔菲游行的风景》,Q20274952
第一章,克劳德·洛兰,Q214074,绘制,《德尔菲游行的风景》,Q20274952
第四章,克劳德·洛兰,Q214074,绘制,《德尔菲游行的风景》,Q20274952
第一章,克劳德·洛兰,Q214074,绘制,《德尔菲游行的风景》,Q20274952
第八章,德尔·罗索兄弟,,收藏,《德伊阿尼拉和内萨斯》,A383
第八章,费迪南德大公,Q465178,收藏,《德伊阿尼拉和内萨斯》,A383
第八章,卢卡·焦尔达诺,Q332494,创作,《德伊阿尼拉和内萨斯》,A383
第六章,贝尔纳迪诺·梅,Q472391,创作,《德治下的财富》,A398
第六章,弗拉维奥·奇吉,Q368700,委托,《德治下的财富》,A398
第一章,弗朗西斯科·索利梅纳,Q736065,绘制,《狄多和埃涅阿斯》,Q28093447
第八章,格雷戈里奥·拉扎里尼,Q1384461,创作,《狄多之死》,
第七章,乔瓦尼·弗朗西斯科·巴尔比埃里（圭尔奇诺）,Q334262,创作,《迪多之死》,Q55831023
第五章,乔瓦尼·贝内德托·卡斯蒂廖内,Q40823,创作,《第欧根尼》,Q75194631
第九章,迪特里希,Q536581,创作,《东方头像》,A369
第十一章,罗萨尔巴·卡列拉,Q237726,创作,《冬天》,Q18689216
第十一章,约瑟夫·史密斯,Q476702,收藏,《冬天》,Q18689216
第十一章,安东尼奥·维森蒂尼,Q605690,修订,《对建筑师的误解》,
第十一章,托菲洛·加拉西尼,Q51527555,创作,《对建筑师的误解》,
第十一章,约瑟夫·史密斯,Q476702,出版,《对建筑师的误解》,
第七章,彼得罗·达·科尔托纳,Q333323,创作,《发现罗慕路斯与雷穆斯》,A337
第八章,费迪南德大公,Q465178,收藏,《发现摩西》,
第十七章,克雷斯皮,Q528620,创作,《发现摩西》,
第八章,朱塞佩·玛丽亚·克雷斯皮,Q528620,创作,《发现摩西》,
第九章,迪特里希,Q536581,绘制,《发现真十字架的圣海伦》,A400
第九章,迪特里希,Q536581,绘制,《发现真十字架的圣海伦》,A400
第十章,佩莱格里尼,Q1358364,绘制,《法厄同的坠落》,A237
第十章,佩莱格里尼,Q1358364,创作,《法厄同的坠落》,A237
第十章,卡纳莱托,Q182664,绘制,《法国大使吉恩伯爵的入城式》,Q5977784
第十三章,罗伯特·亚当,结果不唯一,出售,《凡·戴克里先别墅》,
第十三章,安东尼奥·玛丽亚·扎内蒂(小),Q18507790,修订,《丰富的矿藏》,
第十三章,马可·博斯基尼,Q662866,著作,《丰富的矿藏》,
第十三章,马克·博斯基尼,Q662866,著作,《丰富的矿藏》,
第十三章,小安东尼奥·玛丽亚·扎内蒂,Q18507790,修订,《丰富的矿藏》,
第一章,马可·皮特利,Q5563901,创作,《弗拉米尼奥·科纳》肖像,
第一章,匿名画家,,创作,《弗朗西斯科·阿尔加罗蒂》肖像,
第十二章,戈尔多尼,Q165534,撰写,《弗雷帕托尔》献词,
第八章,费迪南德大公,Q465178,收藏,《弗洛拉》,
第八章,塞巴斯蒂亚诺·里奇,Q26878812,创作,《弗洛拉》,
第二章,皮得罗·达·科托纳,Q333323,创作,《伏尔甘熔炉》,
第九章,迪特里希,Q536581,绘制,《佛罗拉》,
第三章,乔瓦尼·巴格里昂,Q983332,创作,《复活》,Q18573503
第二章,拉斐尔,Q5597,创作,《伽拉忒亚》,
第八章,德尔·罗索兄弟,,收藏,《伽拉忒亚和特里同》,Q27970986
第八章,费迪南德大公,Q465178,收藏,《伽拉忒亚和特里同》,Q27970986
第八章,卢卡·焦尔达诺,Q332494,创作,《伽拉忒亚和特里同》,Q27970986
第八章,多梅尼科·布鲁乔里,Q16240592,创作,《该隐和亚伯》,A53
第八章,费迪南德大公,Q465178,购买,《该隐和亚伯》,A53
第八章,费迪南德大公,Q465178,收藏,《该隐之死》,A158
第八章,费迪南德大公,Q465178,购买,《橄榄园中基督》,
第二章,克劳德·洛兰,Q214074,创作,《冈多菲堡》,A59
第一章,彼得·安东尼·诺韦利,Q1718478,绘制,《戈尔多尼在学校通过了他的拉丁语考试》,
第三章,吉罗拉莫·穆扎亚诺,Q1333792,创作,《割礼》,A225
第一章,博纳西尼,Q3836364,设计,《歌剧拉丁君主制的胜利中的伊利亚群岛》,
第一章,马可·里奇,Q930162,绘制,《歌剧预演》,Q23699891
第一章,马可·里奇,Q930162,创作,《歌剧预演》,Q23699891
第一章,沃特金·威廉姆斯怀恩爵士,Q7529426,收藏,《歌剧预演》,Q23699891
第七章,奥拉齐奥·简提列斯基,Q367360,创作,《公众的福祉胜过危险》,Q18572437
第十二章,洛多维科·安东尼奥·穆拉托里,Q471529,出版,《公众幸福与良好原则的对象》,
第八章,德尔·罗索兄弟,,收藏,《古代宫殿》,A29
第八章,费迪南德大公,Q465178,收藏,《古代宫殿》,A29
第八章,弗朗索瓦·诺米,Q1887392,创作,《古代宫殿》,A29
第八章,弗朗索瓦·德·诺姆,Q1887392,创作,《古代宫殿》,A29
第十三章,阿尔布里兹,Q21748854,出版,《古希腊和罗马雕像》,
第十三章,安东尼奥·玛丽亚·扎内蒂,Q944948,著作,《古希腊和罗马雕像》,
第十三章,安东尼奥·玛丽亚·扎内蒂(老),Q944948,创作,《古希腊和罗马雕像》,
第十三章,扎内蒂,Q944948,著作,《古希腊和罗马雕像》,
第十三章,詹巴蒂斯塔·阿尔布里兹,Q21748854,出版,《古希腊和罗马雕像》,
第十七章,曼弗林,Q16560336,收藏,《关闭》,Q50812385
第十七章,泰奥多罗·科雷尔,Q2403974,购买,《关闭》,Q50812385
第十七章,詹·安东尼奥·瓜尔迪,Q590969,创作,《关闭》,Q50812385
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,撰写,《关于绘画的综述》,
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,撰写,《关于罗马法兰西学院的论文》,
第十二章,伽利略,Q307,撰写,《关于托勒密和哥白尼两大世界体系的对话》,
第一章,朱塞佩·玛丽亚·克雷斯皮,Q528620,创作,《盥洗室中的女孩》,A374
第十一章,吉安·多梅尼科·法拉蒂,Q1363378,绘制,《圭恰尔迪尼历史著作》再版,
第十一章,约瑟夫·史密斯,Q476702,委托,《圭恰尔迪尼历史著作》再版,
第四章,卡西亚诺·达尔·波佐,Q1048333,收藏,《国王迈达斯在帕托鲁斯河洗脸》,Q19911476
第四章,卡西亚诺·达尔·波佐,Q1048333,收藏,《国王迈达斯在帕托鲁斯河洗脸》,Q19911476
第二章,克劳德·洛兰,Q214074,创作,《海港》,Q52242065
第七章,安东尼奥·维瑞奥,Q2305594,创作,《海上的胜利》,Q28026269
第四章,卡西亚诺·达尔·波佐,Q1048333,委托,《海上风暴》,Q102961376
第四章,克劳德·洛兰,Q214074,绘制,《海上风暴》,Q102961376
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,委托,《海神喷泉》,A441
第一章,迪特里希,Q536581,绘制,《海王星向威尼斯致敬》,A351
第一章,迪特里希,Q536581,创作,《海王星向威尼斯致敬》,A351
第九章,迪特里希,Q536581,绘制,《海王星向威尼斯致敬》,A351
第九章,迪特里希,Q536581,创作,《海王星向威尼斯致敬》,A351
第九章,迪特里希,Q536581,绘制,《海王星向威尼斯致敬》,A351
第一章,安东尼奥·维瑞奥,Q2305594,创作,《汉普顿宫殿楼梯壁画》,A358
第一章,卡纳莱托,Q182664,绘制,《河谷草地广场》,Q2636862
第一章,卡纳莱托,Q182664,绘制,《河谷草地广场》,Q2636862
第十五章,安吉洛·奎里尼,Q536447,收藏,《赫拉克勒斯》,Q126267268
第一章,保罗·德·马蒂斯,Q1851224,创作,《赫拉克勒斯的选择》,Q118993578
第七章,保罗·德·马蒂斯,Q1851224,创作,《赫拉克勒斯在恶与美的十字路口》,
第十四章,乔瓦尼·巴蒂斯塔·蒂耶波洛,Q186202,创作,《亨利三世的喜宴》,Q5968478
第八章,费迪南德大公,Q465178,购买,《亨特肖像》,
第八章,费迪南德大公,Q465178,收藏,《亨特肖像》,
第八章,尼科洛·卡萨纳,Q3341172,创作,《亨特肖像》,
第一章,委拉斯贵支,Q297,绘制,《胡安·德·帕雷哈》,Q4717953
第八章,托马索·鲁福,Q2661419,收藏,《胡安·德·帕雷贾肖像》,
第八章,托马索·鲁福,Q2661419,展览,《胡安·德·帕雷贾肖像》,
第八章,委拉斯贵支,Q297,创作,《胡安·德·帕雷贾肖像》,
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,委托,《花》,A101
第十四章,乔瓦尼·巴蒂斯塔·蒂耶波洛,Q186202,创作,《花》,A101
第八章,费迪南德大公,Q465178,收藏,《华盖下圣母》,
第八章,拉斐洛·桑齐奥·达·乌尔比诺,Q5597,创作,《华盖下圣母》,
