Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason,Formal_Full_Name,Normalization_Category,Wikidata_QID,Wikidata_Label,Wikidata_Description,Wikidata_Candidates
Index,Unmatched (Index),"Artist's position in society, Andrea Memmo on",E28 Conceptual Object,,,,A,Unmatched Index Entry,"Artist's position in society, Andrea Memmo on",Work,,,,No match found
Index,Unmatched (Index),"Artists, status of in 17th-century Rome",E28 Conceptual Object,,,,A,Unmatched Index Entry,Status of in 17th-century Rome Artists,Work,,,,No match found
Index,Unmatched (Index),"Arundel, Lord",E21 Person,,,,A,Unmatched Index Entry,Arundel,Person,Q716658,Arundel,"town in West Sussex, England, UK","Q716658 (Arundel: town in West Sussex, England, UK) | Q56449420 (Arundel: given name) | Q60576168 (Arundel: Constituency of the Parliament of England (to 1707)) | Q716674 (Arundell: family name) | Q974582 (Arundel: township municipality of Quebec, Canada)"
Index,Unmatched (Index),"Astalli (Pamfili), Camillo",E21 Person,,,,A,Unmatched Index Entry,Camillo Astalli,Person,Q2935133,Camillo Astalli,Italian cardinal (1616-1663),"Q2935133 (Camillo Astalli: Italian cardinal (1616-1663)) | Q24298304 (Camillo Astalli, known as Cardinal Pamphili: painting by Diego Velázquez)"
Index,Unmatched (Index),"Audran, Benoit",E21 Person,,,,A,Unmatched Index Entry,Benoit Audran,Person,,,,Q818100 (Benoît Audran the Elder: French engraver (1661-1721)) | Q4890151 (Benoît Audran the Younger: French artist (1698-1772)) | Q124763260 (Benoît Audran: Wikimedia disambiguation page)
Index,Unmatched (Index),"Augustus II of Poland (Frederick Augustus I, Elector of Saxony)",E21 Person,,,,A,Unmatched Index Entry,Augustus II of Poland,Person,,,,No match found
Index,Unmatched (Index),"Augustus III of Poland (Frederick Augustus II, Elector of Saxony)",E21 Person,,,,A,Unmatched Index Entry,Augustus III of Poland,Person,Q53438,Augustus III of Poland,"King of Poland, Elector of Saxony (1696-1763)","Q53438 (Augustus III of Poland: King of Poland, Elector of Saxony (1696-1763))"
Index,Unmatched (Index),"Azzolini, Cardinal",E21 Person,,,,A,Unmatched Index Entry,Azzolini,Person,Q37034039,Azzolini,family name,"Q37034039 (Azzolini: family name) | Q134428428 (House of Azzolini: Italian noble family) | Q18478661 (Azzolini: human settlement in Italy) | Q103891395 (Azzolini [Azzolino], Decio: encyclopedia article) | Q103930346 (Azzolini, Ercole degli: encyclopedia article)"
Index,Unmatched (Index),Baglioni collection,E22 Man-Made Object,,,,B,Unmatched Index Entry,Baglioni collection,Work,,,,No match found
Index,Unmatched (Index),"Bagnara, Duchess of",E21 Person,,,,B,Unmatched Index Entry,Of Bagnara,Person,,,,No match found
Index,Unmatched (Index),"Bagutti, Pietro Martire",E21 Person,,,,B,Unmatched Index Entry,Pietro Martire Bagutti,Person,Q55225229,Pietro Martire Bagutti,,Q55225229 (Pietro Martire Bagutti: )
Index,Unmatched (Index),"Baines, Sir Thomas",E21 Person,,,,B,Unmatched Index Entry,Thomas Baines,Person,Q113518,Thomas Baines,British expedition artist (1820-1875),Q113518 (Thomas Baines: British expedition artist (1820-1875)) | Q7787314 (Thomas Baines: British historian and journalist (1806-81)) | Q7787315 (Thomas Baines: English physician) | Q7787313 (Thomas Baines: Canadian land agent (1799–1867)) | Q21553792 (Thomas Baines: )
Index,Unmatched (Index),"Baldoini, Giovanni Gasparo",E21 Person,,,,B,Unmatched Index Entry,Giovanni Gasparo Baldoini,Person,,,,No match found
Index,Unmatched (Index),Bamboccianti,E74 Group,,,,B,Unmatched Index Entry,Bamboccianti,Place,Q2344569,Bamboccianti,followers of Pieter van Laer and other Bentvueghels in Rome,Q2344569 (Bamboccianti: followers of Pieter van Laer and other Bentvueghels in Rome) | Q103891590 (Bamboccianti: encyclopedia article) | Q723620 (Bambocciata: term used to describe small-sized genre paintings sold by the Bentvueghels while in Rome)
Index,Unmatched (Index),"Bandino, Cardinal",E21 Person,,,,B,Unmatched Index Entry,Bandino,Person,Q3634085,Bandino,neighborhoods in Florence,Q3634085 (Bandino: neighborhoods in Florence) | Q121672475 (Bandino: family name) | Q82651 (Bandino Panciatici: Roman Catholic cardinal (1629-1718)) | Q108315768 (Bandino: ) | Q107657156 (Bandino Giacomo Zenobi: )
Index,Unmatched (Index),"Baratta, Francesco",E53 Place,,,,B,Unmatched Index Entry,"Baratta, Francesco",Place,Q103938108,"Baratta, Francesco",,"Q103938108 (Baratta, Francesco: ) | Q103938117 (Baratta, Francesco: ) | Q103938110 (Baratta, Francesco: encyclopedia article)"
Index,Unmatched (Index),"Barbarigo, Caterina",E21 Person,,,,B,Unmatched Index Entry,Caterina Barbarigo,Person,,,,No match found
Index,Unmatched (Index),"Barbaro, Antonio",E21 Person,,,,B,Unmatched Index Entry,Antonio Barbaro,Person,Q114006282,Antonio Barbaro,,Q114006282 (Antonio Barbaro: ) | Q711845 (Marcantonio Barbaro: Italian diplomat of the Republic of Venice) | Q41559724 (Antonio Barbaro: (fl. 1739)) | Q18518755 (Antonio Barbaro: ) | Q599723 (Antonio Barbaro: Italian military leader)
Index,Unmatched (Index),Barberini family,E74 Group,,,,B,Unmatched Index Entry,Barberini family,Place,Q807815,House of Barberini,Italian noble family prominent in 17th century Rome,Q807815 (House of Barberini: Italian noble family prominent in 17th century Rome) | Q103891699 (Barberini family: encyclopedia article)
Index,Unmatched (Index),Barberini palace,E22 Man-Made Object,,,,B,Unmatched Index Entry,Palazzo Barberini,Place (Reclassified),Q1136614,Palazzo Barberini,palace in Rome housing part of the Galleria Nazionale d'Arte Antica,"Q1136614 (Palazzo Barberini: palace in Rome housing part of the Galleria Nazionale d'Arte Antica) | Q124027357 (Palazzo Barberini: palace in Barberino Val d'Elsa, Barberino Tavarnelle, Italy) | Q131322634 (Palazzo Barberini: palace in Senigallia, Italy) | Q104011802 (Palazzo Barberini: encyclopedia article) | Q2266081 (Galleria Nazionale d'Arte Antica: art gallery in the Galleria Nazionale d'Arte Antica, Rome, Italy)"
Index,Unmatched (Index),"Barberini, Cardinal Antonio (brother to Urban VIII) (Cardinal di S. Onofrio)",E21 Person,,,,B,Unmatched Index Entry,Antonio Barberini,Person,Q599744,Antonio Barberini,"Italian cardinal (1607-1671), nephew of Pope Urban VIII","Q599744 (Antonio Barberini: Italian cardinal (1607-1671), nephew of Pope Urban VIII) | Q887599 (Antonio Marcello Barberini: Italian cardinal) | Q116474145 (Antonio Barberini: 1414 - 23 Jul 1479) | Q110459458 (Antonio Barberini: father of Carlo, Antonio and Maffeo (pope Urban VIII) Barberini. (1529-1571)) | Q925898 (Antonio Barberini: Wikimedia disambiguation page)"
Index,Unmatched (Index),"Barberini, Cardinal Antonio (nephew to Urban VIII)",E21 Person,,,,B,Unmatched Index Entry,Antonio Barberini,Person,Q599744,Antonio Barberini,"Italian cardinal (1607-1671), nephew of Pope Urban VIII","Q599744 (Antonio Barberini: Italian cardinal (1607-1671), nephew of Pope Urban VIII) | Q887599 (Antonio Marcello Barberini: Italian cardinal) | Q116474145 (Antonio Barberini: 1414 - 23 Jul 1479) | Q110459458 (Antonio Barberini: father of Carlo, Antonio and Maffeo (pope Urban VIII) Barberini. (1529-1571)) | Q925898 (Antonio Barberini: Wikimedia disambiguation page)"
Index,Unmatched (Index),"Barberini, Cardinal Francesco (nephew to Urban VIII)",E53 Place,,,,B,Unmatched Index Entry,"Barberini, Cardinal Francesco",Place,,,,No match found
Index,Unmatched (Index),"Barberini, Carlo (brother to Urban VIII)",E21 Person,,,,B,Unmatched Index Entry,Carlo Barberini,Person,Q1186836,Carlo Barberini,Italian cardinal,"Q1186836 (Carlo Barberini: Italian cardinal) | Q5041457 (Carlo Barberini: Italian nobleman and Duke of Monterotondo, brother of pope Urban VIII) | Q110459459 (Carlo Barberini: Italian noble (1488-1566)) | Q59619094 (Carlo Barberini: Wikimedia disambiguation page)"
Index,Unmatched (Index),"Barberini, Maffeo (Pope Urban VIII)",E21 Person,,,,B,Unmatched Index Entry,Maffeo Barberini,Person,Q6729457,Maffeo Barberini,Italian nobleman and Prince of Palestrina,"Q6729457 (Maffeo Barberini: Italian nobleman and Prince of Palestrina) | Q131579 (Urban VIII: 235 pope of the Catholic Church from 1623 to 1644 (1568–1644)) | Q116474147 (Maffeo Barberini: - 30 Oct 1383) | Q43302255 (Maffeo Barberini Colonna di Sciarra, VII principe di Carbognano: ) | Q16586490 (Maffeo Barberini Palace: building in Florence)"
Index,Unmatched (Index),"Barberini, Monsignor Francesco (uncle to Urban VIII)",E53 Place,,,,B,Unmatched Index Entry,"Barberini, Monsignor Francesco",Place,,,,No match found
Index,Unmatched (Index),"Barberini, Prince Maffeo (son of Taddeo Barberini)",E21 Person,,,,B,Unmatched Index Entry,Maffeo Barberini,Person,Q6729457,Maffeo Barberini,Italian nobleman and Prince of Palestrina,"Q6729457 (Maffeo Barberini: Italian nobleman and Prince of Palestrina) | Q131579 (Urban VIII: 235 pope of the Catholic Church from 1623 to 1644 (1568–1644)) | Q116474147 (Maffeo Barberini: - 30 Oct 1383) | Q43302255 (Maffeo Barberini Colonna di Sciarra, VII principe di Carbognano: ) | Q16586490 (Maffeo Barberini Palace: building in Florence)"
Index,Unmatched (Index),"Barberini, Taddeo (nephew to Urban VIII)",E21 Person,,,,B,Unmatched Index Entry,Taddeo Barberini,Person,Q116474159,Taddeo Barberini,- 2 Oct 1383,Q116474159 (Taddeo Barberini: - 2 Oct 1383) | Q3817341 (Taddeo Barberini: Italian nobleman and Prince of Palestrina)
Index,Unmatched (Index),"Baretti, Giuseppe",E21 Person,,,,B,Unmatched Index Entry,Giuseppe Baretti,Person,Q741900,Giuseppe Marc'Antonio Baretti,Italian-born English literary critic and author,Q741900 (Giuseppe Marc'Antonio Baretti: Italian-born English literary critic and author) | Q28048000 (Giuseppe Baretti: painting after Sir Joshua Reynolds)
Index,Unmatched (Index),Barnabotti,E74 Group,,,,B,Unmatched Index Entry,Barnabotti,Place,Q2884644,Barnabotti,class of impoverished nobility found in the Venetian Republic,Q2884644 (Barnabotti: class of impoverished nobility found in the Venetian Republic)
Index,Unmatched (Index),"Baronio, Cardinal",E21 Person,,,,B,Unmatched Index Entry,Baronio,Person,Q21493371,Baronio,family name,"Q21493371 (Baronio: family name) | Q104010930 (Baronio, Cesare: encyclopedia article) | Q317900 (Caesar Baronius: Italian cardinal and ecclesiastical historian (1538–1607)) | Q808709 (Baronio: Wikimedia disambiguation page)"
Index,Unmatched (Index),"Bartoli, Pietro Santo",E21 Person,,,,B,Unmatched Index Entry,Pietro Santo Bartoli,Person,Q1106798,Pietro Santi Bartoli,Italian painter (1635-1700),Q1106798 (Pietro Santi Bartoli: Italian painter (1635-1700))
Index,Unmatched (Index),"Bartolommeo, Fra",E21 Person,,,,B,Unmatched Index Entry,Bartolommeo,Person,Q809524,Bartolommeo,male given name,"Q809524 (Bartolommeo: male given name) | Q659997 (Bartolommeo Gamba: Italian writer and bibliographer (1766-1841)) | Q3635380 (Bartolomeo Giuliano: Italian painter (1825-1909)) | Q43734 (Gregory XVI: Pope of the Catholic Church from 1831 to 1846 (1765–1846)) | Q107570225 (Bartolommeo di Guido Cancellieri: Italian artist, active 16th century)"
Index,Unmatched (Index),"Bassanino, Virgilio",E21 Person,,,,B,Unmatched Index Entry,Virgilio Bassanino,Person,,,,No match found
Index,Unmatched (Index),"Bassano, Jacopo",E21 Person,,,,B,Unmatched Index Entry,Jacopo Bassano,Person,Q346502,Jacopo Bassano,Italian painter (1510–1591),"Q346502 (Jacopo Bassano: Italian painter (1510–1591)) | Q28020373 (Jacopo Bassano (c. 1510/1518-1592): painting by Giuseppe Nogari) | Q129679448 (Jacopo Bassano, Regionalism, and Rural Painting: scholarly article published in August 2018) | Q18588006 (Jacopo da Ponte, called Bassano (ca 1515-1592), Italian artist, painter: painting by unknown painter)"
Index,Unmatched (Index),"Bassi, Francesco (il Cremonese)",E53 Place,,,,B,Unmatched Index Entry,"Bassi, Francesco",Place,Q103947424,"Bassi, Francesco",encyclopedia article,"Q103947424 (Bassi, Francesco: encyclopedia article) | Q103947450 (Bassi, Francesco Maria, the Younger: encyclopedia article) | Q103947441 (Bassi, Francesco Maria, the Elder: encyclopedia article)"
Index,Unmatched (Index),"Batoni, Pompeo",E21 Person,,,,B,Unmatched Index Entry,Pompeo Batoni,Person,Q505613,Pompeo Batoni,Italian painter (1708-1787),"Q505613 (Pompeo Batoni: Italian painter (1708-1787)) | Q77826044 (Pompeo Batoni (1708 to 1787): Art Exhibition at National Gallery, London)"
Index,Unmatched (Index),"Beccari, Dr",E21 Person,,,,B,Unmatched Index Entry,Beccari,Person,Q21450819,Beccari,family name,Q21450819 (Beccari: family name) | Q18580216 (Beccariola: genus of insects) | Q37218360 (Beccaria: family name) | Q4878524 (Beccariella: genus of plants) | Q9297487 (Beccarinda: genus of plants)
Index,Unmatched (Index),"Bedford, John, 4th Duke of",E21 Person,,,,B,Unmatched Index Entry,"John, 4th of Bedford",Person,,,,No match found
Index,Unmatched (Index),"Bellori, Gian Pietro",E21 Person,,,,B,Unmatched Index Entry,Gian Pietro Bellori,Person,Q714400,Giovanni Pietro Bellori,Italian painter and biographer (1613-1696),Q714400 (Giovanni Pietro Bellori: Italian painter and biographer (1613-1696))
Index,Unmatched (Index),"Bellucci, Giovanni Battista",E21 Person,,,,B,Unmatched Index Entry,Giovanni Battista Bellucci,Person,Q762531,Giovanni Battista Belluzzi,architect from San Marino (1506-1554),Q762531 (Giovanni Battista Belluzzi: architect from San Marino (1506-1554)) | Q21289008 (Giovanni Battista Bellucci: Italian painter (1684–1760))
Index,Unmatched (Index),"Bencovich, Federico",E21 Person,,,,B,Unmatched Index Entry,Federico Bencovich,Person,Q1269439,Federiko Benković,Italian painter (1667-1753),Q1269439 (Federiko Benković: Italian painter (1667-1753))
Index,Unmatched (Index),"Bentivoglio, Ippotilo",E21 Person,,,,B,Unmatched Index Entry,Ippotilo Bentivoglio,Person,,,,No match found
Index,Unmatched (Index),"Bermis, Cardinal de",E21 Person,,,,B,Unmatched Index Entry,De Bermis,Person,,,,No match found
Index,Unmatched (Index),Bernardine Baccinelli,E21 Person,,,,B,Unmatched Index Entry,Bernardine Baccinelli,Person,Q822863,Bernardine Baccinelli,Italian priest (1807-1868),Q822863 (Bernardine Baccinelli: Italian priest (1807-1868))
Index,Unmatched (Index),"Berreguete, Pedro",E21 Person,,,,B,Unmatched Index Entry,Pedro Berreguete,Person,,,,No match found
Index,Unmatched (Index),"Berrettini, Pietro (Pietro da Cortona)",E21 Person,,,,B,Unmatched Index Entry,Pietro Berrettini,Person,Q333323,Pietro da Cortona,Italian painter and architect of the High Baroque (1596-1669),Q333323 (Pietro da Cortona: Italian painter and architect of the High Baroque (1596-1669))
Index,Unmatched (Index),"Bianconi, G. L.",E21 Person,,,,B,Unmatched Index Entry,G. L. Bianconi,Person,,,,No match found
Index,Unmatched (Index),"Biffi, Giambattista",E21 Person,,,,B,Unmatched Index Entry,Giambattista Biffi,Person,,,,No match found
Index,Unmatched (Index),"Bingley, Lord",E21 Person,,,,B,Unmatched Index Entry,Bingley,Person,Q16833416,Bingley,family name,"Q16833416 (Bingley: family name) | Q863832 (Bingley: market town in the metropolitan borough of the City of Bradford, in West Yorkshire, England) | Q4914269 (Bingley: electoral ward of Bradford City Council) | Q113187859 (Bingley: given name) | Q672653 (Bingley railway station: railway station in Bingley, West Yorkshire, England, UK)"
Index,Unmatched (Index),"Blainville, Monsieur de",E21 Person,,,,B,Unmatched Index Entry,Monsieur de Blainville,Person,Q21476770,Monsieur de Blainville,Dutch diplomat,Q21476770 (Monsieur de Blainville: Dutch diplomat)
Index,Unmatched (Index),"Boccage, Mme de",E21 Person,,,,B,Unmatched Index Entry,De Boccage,Person,,,,No match found
Index,Unmatched (Index),Bologna,E53 Place,,,,B,Unmatched Index Entry,Bologna,Place,Q1891,Bologna,"city and commune in Emilia-Romagna, Italy","Q1891 (Bologna: city and commune in Emilia-Romagna, Italy) | Q15111371 (Bologna: family name) | Q1893 (Bologna F.C. 1909: Italian football club based in Bologna, Emilia-Romagna) | Q16139 (Province of Bologna: former province of Italy) | Q131262 (University of Bologna: university in Bologna, Italy)"
Index,Unmatched (Index),Bombelli Sebastiano,E21 Person,,,,B,Unmatched Index Entry,Bombelli Sebastiano,Person,,,,No match found
Index,Unmatched (Index),"Bonati, Giovanni",E21 Person,,,,B,Unmatched Index Entry,Giovanni Bonati,Person,Q5565359,Giuseppe Bonati,Italian painter (1635-1681),"Q5565359 (Giuseppe Bonati: Italian painter (1635-1681)) | Q5563784 (Giovanni Bonati: Italian Olympic gymnast, 6th in 1908 Olympics) | Q3766862 (Giovanni Bonati: Italian motorcycle racer) | Q5563783 (Giovanni Bonati: Wikimedia disambiguation page)"
