Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
"Memmo, Andrea",/,sponsored,appointment as Procuratore di San Marco,/,185
"Memmo, Andrea",/,sponsored,as Inquisitore alle Arti,/,186
"Memmo, Andrea",/,sponsored,collection of paintings,/,187
"Memmo, Andrea",/,sponsored,Elementi dell'Architettura lodoliana,/,188
"Memmo, Andrea",/,sponsored,enthusiasm for political reform,/,189
"Memmo, Andrea",/,sponsored,notes on the status of painters,/,190
"Memmo, Andrea",/,created,"plan for Prà della Valle, Padua",/,191
"plan for Prà della Valle, Padua",/,intended_for,Pr,/,191
"Memmo, Andrea",/,sponsored,publication of Lodoli's Apologhi,/,192
"Messina, Antonello da",/,sponsored,Deposition,/,198
Miani family,/,located_in,Venice,/,199
"Risen Christ (in Santa Maria sopra Minerva, Rome)",/,located_in,"Santa Maria sopra Minerva, Rome",/,202
Michelangelo,/,sponsored,"Risen Christ (in Santa Maria sopra Minerva, Rome)",/,202
"Mola, Pier Francesco",/,sponsored,Four Elements,/,218
"Mola, Pier Francesco",/,sponsored,Five Elements,/,219
"Molinos, Miguel de",/,sponsored,Guida Spirituale,/,222
"Monaco, Pietro",/,sponsored,activities as dealer,/,224
'Monsù Desiderio',/,refer_to,"Nomé, François",/,227
Montanari palace,/,located_in,Vicenza,/,232
"Monterey, Count of",/,sponsored,employment of Ribera,/,236
"Monterey, Count of",/,sponsored,purchase of Aldobrandini Titians from Ludovisi family,/,237
Morosini family,/,located_in,Venice,/,248
"Muratori, L. A.",/,sponsored,Della pubblica felicità oggetto de' buoni principi,/,260
