Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
"Spadaro, Micco",/,sponsored,Revolt of Masaniello,/,187
Woman taken in Adultery (with Codazzi),/,located_in,Adultery (with Codazzi,/,188
"Spadaro, Micco",/,sponsored,Woman taken in Adultery (with Codazzi),/,188
Spanish patronage,/,sponsored,in 17th century,/,190
Spanish patronage,/,sponsored,of Venetian artists,/,191
"Storer, Cristoforo",/,sponsored,The Levites,/,203
"Strada, Famiano",/,sponsored,De Bello Belgico,/,205
"Strange, John",/,collaborated_on,G. M. Sasso,/,207
"Strange, John",/,sponsored,employment of F. Guardi,/,208
"Streit, Sigismund",/,created,admiration for Venice,/,210
admiration for Venice,/,intended_for,Venice,/,210
"Streit, Sigismund",/,sponsored,Amigoni paintings,/,211
"Streit, Sigismund",/,sponsored,bequest of pictures to Gymnasium zum Grauen Kloster,/,212
"Streit, Sigismund",/,sponsored,Canaletto paintings,/,213
"Streit, Sigismund",/,sponsored,'Glory of Venice',/,214
"Streit, Sigismund",/,sponsored,Nogari paintings,/,215
"Streit, Sigismund",/,created,portraits of self,/,216
"Streit, Sigismund",/,created,portraits of family,/,216
"Strudel, Peter",/,sponsored,Tarquin,/,220
"Strudel, Peter",/,sponsored,Lucretia,/,220
