Name,QID,Source,Context,Match_Method
"Munich, Nymphenburg palace",Q131631,Index,Location: ,Substring Match (nymphenburg palace)
Museo Correr,Q1470912,List of Plates,"48 a Marco Pitteri: Flaminio Corner (from Giuseppe Angeli) b Gian Antonio Faldoni: Zaccaria Sagredo (from B. Nazari) (Museo Correr, Venice) c Alessandro Longhi: Carlo Lodoli (Museo Correr, Venice) d Anonymous: Francesco Algarotti (Museo Correr, Venice)",Exact Match
Museo di Capodimonte,Q290549,List of Plates,"32 a Ribera: The drunken Silenus (Museo di Capodimonte, Naples')",Exact Match
Museum Boy mans—van 104 Beuningen,,List of Plates,"17 a Bernini: Caricature of Cassiano dal Pozzo (Museum Boy mans—van 104 Beuningen, Rotterdam) b Claude Mellan: Vincenzo Giustiniani c Ottavio Leoni: Paolo Giordano Orsini, Duke of Bracciano",
National Gallery of Scotland,Q180788,List of Plates,b Rubens: The Feast of Herod (National Gallery of Scotland),Substring Match (national gallery)
National Portrait Gallery,Q238587,List of Plates,"52 a P. Van Bleek: Owen McSwiny (National Portrait Gallery) b Canaletto, Cimaroli and Pittoni: Allegorical Tomb to the memory of Archbishop Tillotson (Peter Moores, Liverpool)",Exact Match
Oratorio,Q85477,Index,Location: Rome,Exact Match
Palazzo Ducale,Q1267721,Both,"42 a Tiepolo: Neptune paying homage to Venice (Palazzo Ducale, Venice)",Exact Match
Palazzo Pitti,Q29286,List of Plates,"38 a Sebastiano Ricci: Rape of Europa (Palazzo Pitti, Florence)",Exact Match
Palazzo dei Conservatori,Q64103,List of Plates,"(Palazzo dei Conservatori, Rome)",Exact Match
Pamfili palace (Piazza Navona),Q463400,Index,Location: ,Substring Match (piazza navona)
"Parma, Academy",,Index,Location: ,
Pepoli palace,Q28772011,Index,Location: Bologna,Substitution Match
Pesaro palace,,Index,Location: Venice,
Pinacoteca Capitolina,,List of Plates,"10 a Pietro da Cortona: Rape of the Sabines (Pinacoteca Capitolina, Rome)",
Pisani palace,Q55166916,Index,Location: Venice,Substitution Match
Pitti,,List of Plates,"4 a Van Dyck: Cardinal Bentivoglio (Pitti, Florence)",
Pitti Palace,Q29286,Index,Location: Florence,Substitution Match
Raleigh. Samuel H. Kress Collection,,List of Plates,"45 Pompeo Batoni: The Triumph of Venice (Collection os the North 264 Carolina Museum of Art, Raleigh. Samuel H. Kress Collection)",
Riccardi palace,,Index,Location: Florence,
Royal Collection,Q1459037,Index,Location: ,Exact Match
S. Sabina,,List of Plates,"21 a Sassoferrato: Madonna of the Rosary with Saints Dominic and Catherine (S. Sabina, Rome) 126 b Sassoferrato: Madonna and Child (Galleria Nazionale, Rome)",
"San Giovanni, Giovanni da",,Index,Location: ,
"San Rocco, Scuola di",,Index,Location: Venice,
Sandi palace,Q18763351,Index,Location: Venice,Exact Match
Uffizi,,List of Plates,"b G. M. Crespi: Girl at her toilet (Uffizi, Florence)",
Vatican palace,,Index,Location: Rome,
Villa Borghese,Q3558478,List of Plates,"b Pietro da Cortona: Marcello Sacchetti (Villa Borghese, Rome)",Exact Match
Villa Pisani,Q514069,List of Plates,"44 Tiepolo: Glorification of the Pisani family (Villa Pisani, Stra)",Exact Match
Virginia Museum of Fine Arts Williams Fund,Q4013975,List of Plates,"23 a Michelangelo Cerquozzi: Women’s Bath (Incisa della Rocchetta, Rome) b Salvator Rosa: The Death of Regulus (Virginia Museum of Fine Arts Williams Fund)",Substring Match (virginia museum of fine arts)
Wallraf-Richartz Museum,Q700959,List of Plates,"54 Piazzetta: Idyll (Wallraf-Richartz Museum, Cologne)",Exact Match
Widmann palace,Q21198018,Index,Location: Venice,Substitution Match
Zenobio palace,,Index,Location: Venice,
formerly Palazzo Buonaccorsi,,List of Plates,"33 a Solimena: Dido and Aeneas (formerly Palazzo Buonaccorsi, Macerata) 216",
