Refined_Formal_Name,Original-QID,Second-Query_QID,LLM-Fillin_QID,Second-Query_Label
Carlo Ademollo,Q126923746,Q1065068,,Carlo Ademollo
Carlo Barberini,Q1186836,Q5041457,,Carlo Barberini
Carlo Fontana,Q704356,Q3659352,,Carlo Fontana
Carthage,Q6343,Q976381,,Carthage
Castro,Q52129,Q1049855,,Castro
Catherine de' Medici,Q131552,Q45639,,Catherine de' Medici
Cebes,Q965144,Q10444302,,Cebes
Chapel of the Virgin Mary,Q77326869,Q83800880,,Chapel of the Virgin Mary
Charles Bennet,Q5075537,Q433085,,Charles Bennett
Charles Burney,Q547002,Q5075910,,Charles Burney
Charles James Fox,Q5304515,Q438131,,Charles James Fox
Charles Mitchell,Q42154355,Q121315185,,Charles Mitchell
Chioggia,Q55416,Q63413150,,Chioggia
Chloe,Q19861876,Q2668516,,Chloe
Chloris,Q28122362,Q2147082,,Chloris
Christopher Hussey,Q5112590,Q123000268,,Christopher Hussey
Christopher Lloyd,Q983238,Q109324,,Christopher Lloyd
Church of St. John,Q2664848,Q29480820,,Church of St. John
Church of the Gesù,Q719794,Q3585960,,Church of the Gesù
Cicero,Q1541,Q2446440,,Cicero
Clovis Whitfield,Q5136005,Q76066165,,Clovis Whitfield
Corfu,Q121378,Q205832,,Corfu
Corybantes,Q631406,Q923296,,Corybantes
Crete,Q34374,Q958049,,Crete
Cybele,Q188236,Q70392029,,Cybele
Dalmatia,Q528042,Q5211528,,Dalmatia
Daniele Concina,Q3701909,Q112485041,,Daniele Concina
Daniele Dolfin,Q3015062,Q3014934,,Daniele Dolfin
Daphnis,Q741627,Q135361,,Daphnis
David,Q766487,Q18057751,,David
Democritus,Q41980,Q10882454,,Democritus
Denis Diderot,Q448,Q62615724,,Denis Diderot
Denis Mahon,Q3705445,Q76093327,,Denis Mahon
Diana,Q132543,Q645412,,Diana
Diana and her Nymphs,Q26038063,Q32234,,Diana and her Nymphs
Dido,Q905162,Q202550,,Dido
Diogenes Searching for an Honest Man,Q75194631,Q114719834,,Diogenes searching for an honest man
Domenico Fontana,Q336806,Q66624849,,Domenico Fontana
Domenico Rossi,Q60335720,Q108446764,,Domenico Rossi
Dominicans,Q131479,Q3247924,,Dominicans
Drunken Silenus,Q17652393,Q3960488,,Drunken Silenus
Edward Poore,Q75928552,Q75928525,,Edward Poore
Edward Young,Q507699,Q15055406,,Eduard Young
Elijah,Q133507,Q19827682,,Elijah
Elizabeth Yates,Q4990813,Q5363769,,Elizabeth Yates
Enzo Bentivoglio,Q21548348,Q123115360,,Enzo Bentivoglio
Erminia,Q17324876,Q3732023,,Erminia
Esau,Q220822,Q81826641,,Esau
Esther before Ahasuerus,Q26492606,Q3733425,,Esther before Ahasuerus
Et in Arcadia ego,Q15805858,Q1140358,,Et in Arcadia ego
Ezekiel,Q194064,Q19271130,,Ezekiel
Fabrizio Moretti,Q47542159,Q522260,,Fabrizio Moretti
Fausto Rughesi,Q124857379,Q109295630,,Fausto Rughesi
Federico Cesi,Q322023,Q1605089,,Federico Cesi
Ferdinand Boyer,Q62559508,Q8319285,,Ferdinand Boyer
Ferdinand van den Eynde,Q99237902,Q115811440,,Ferdinand Van den Eynde
Ferdinando de' Medici,Q465178,Q68868116,,Ferdinando de’ Medici
Filippo Corsini,Q3745158,Q110738215,,Filippo Corsini
Flavio Chigi,Q368700,Q1397340,,Flavio Chigi
Francesco Barberini,Q2662344,Q62121634,,Francesco Barberini
Francesco Fanelli,Q3749954,Q3749953,,Francesco Fanelli
Francesco Fontana,Q3749996,Q646955,,Francesco Fontana
Francesco Maidalchini,Q3080994,Q112434208,,Francesco Maidalchini
Francesco Milizia,Q323009,Q3750297,,Francesco Milizia
Francis Bacon,Q37388,Q154340,,Francis Bacon
Francis Watson,Q1441774,Q112540489,,Francis Watson
Franconia,Q150907,Q1374404,,Franconia
Frederick the Great,Q118998667,Q114986073,,Frederick the Great
Fulvio Testi,Q594614,Q120973899,,Fulvio Testi
Ganymede,Q131588,Q3169,,Ganymede
Gasparo Gozzi,Q1232500,Q91016550,,Gasparo Gozzi
Giacomo Lomellini,Q15896926,Q117459069,,Giacomo Lomellini
Giovanni Adamo,Q581481,Q77227732,,Giovanni Adamo
Giovanni Battista Pasquali,Q3762420,Q3766722,,Giovanni Battista Pasqualini
Giovanni Battista Recurti,Q110566749,Q112435296,,Giovanni Battista Recurti
Giovanni Battista Rota,Q15695541,Q3766743,,Giovanni Battista Rota
Giovanni Bona,Q5565359,Q82694,,Giovanni Bona
Giovanni Marchiori,Q240781,Q76521682,,Giovanni Marchiori
Giovanni Sforza,Q3768134,Q1379775,,Giovanni Sforza
Giovanni Tabacco,Q3768195,Q21289021,,Giovanni Tabacco
Girolamo Colonna,Q1223162,Q22783981,,Girolamo Colonna
Girolamo Zanetti,Q27478552,Q61482945,,Girolamo Zanetti
Giulio Natali,Q19868897,Q136242352,,Giulio Natali
Giulio Savelli,Q3107956,Q116619951,,Giulio Savelli
Giuseppe Bianchini,Q2071608,Q114860412,,Giuseppe Bianchini
Giuseppe Delogu,Q55226990,Q123222353,,Giuseppe Delogu
Giuseppe Fossati,Q64138719,Q102281497,,Giuseppe Fossati
Giuseppe Mazzotti,Q51184,Q37835259,,Giuseppe Mazzotti
Giuseppe Ortolani,Q3771116,Q108922642,,Giuseppe Ortolani
Giuseppe Sardi,Q3771406,Q327026,,Giuseppe Sardi
Giuseppe de Rossi,Q28730220,Q15812370,,Giuseppe de Rossi
Goliath,Q192785,Q46998500,,Goliath
Gregory VII,Q133063,Q101866,,Gregory VIII
Guglielmo della Porta,Q1623328,Q115362017,,Guglielmo Della Porta
Guido Zucchini,Q70587659,Q3779518,,Guido Zucchini
Gustavus Adolphus,Q52938,Q106088691,,Gustavus Adolphus Myers
Gyles Isham,Q16008048,Q76038239,,Gyles Isham
Heinrich Brauer,Q18934987,Q1596820,,Heinrich Brauer
Heinrich Zimmermann,Q1599421,Q1599420,,Heinrich Zimmermann
Henriette Adelaide of Savoy,Q57628,Q242928,,Princess Henriette Adelaide of Savoy
Herculaneum,Q178813,Q961668,,Herculaneum
Hercules,Q122248,Q10448,,Hercules
Hermann Voss,Q1612982,Q96917,,Hermann Voss
Homer,Q11710021,Q2101592,,Homer
Hugh Percy,Q2616156,Q5932275,,Hugh Percy
Inigo Jones,Q295929,Q55006893,,Inigo Jones
Innocent XIII,Q132708,Q133100,,Innocent XIII
Iphigenia,Q192673,Q7462749,,Iphigenia
Iris,Q184570,Q156901,,Iris
Isaac,Q671872,Q5920537,,Isaac
Isaiah,Q188794,Q920209,,Isaiah
Ischia,Q72134,Q99981411,,Ischia
Jacob,Q289957,Q25999604,,Jacob
Jacob and Rachel,Q120884420,Q111639853,,Jacob and Rachel
Jacques Callot,Q460124,Q65023290,,Jacques Callot
Jael,Q954820,Q62666916,,Jael
James Adam,Q2618073,Q108353602,,James Adam
James Wyatt,Q1350728,Q75469007,,James Wyatt
Jeremiah,Q158825,Q14649096,,Jeremiah
Job,Q179962,Q124721,,Job
Johann Georg Zimmermann,Q115878,Q28973048,,Johann Georg Zimmermann
Johann Matthias von der Schulenburg,Q128136233,Q70910,,Johann Matthias von der Schulenburg
Johannes Wilde,Q15430589,Q1698628,,Johannes Wilde
John Finch,Q6233132,Q123999443,,John Finch
John Fleming,Q6233420,Q686875,,John Fleming
John Law,Q312694,Q202872,,John Law
John Nicoll,Q4731153,Q76042979,,John Nicoll
John Northall,Q18009154,Q76146593,,John Northall
John Russell,Q335406,Q108162299,,John Russell
John Strange,Q6259378,Q112783324,,John Strange
John Walker,Q324571,Q450549,,John Walker
John Woodward,Q706904,Q115695627,,John Woodward
Joseph Wagner,Q11728479,Q120579975,,Joseph Wagner
Judith,Q26454627,Q112299965,,Judith
Jules Mazarin,Q166056,Q61685080,,Jules Mazarin
Jupiter,Q34201,Q37530492,,Jupiter
Landscape with the Flight into Egypt,Q75135162,Q1803755,,Landscape with the Flight into Egypt
Lauro,Q55047,Q3827960,,Lauro
Lelio Guidiccioni,Q55998317,Q56006638,,Lelio Guidiccioni
Livio Odescalchi,Q10319317,Q11762206,,Livio Odescalchi
Lorenzo Magalotti,Q327913,Q590501,,Lorenzo Magalotti
Lorenzo Raggi,Q18340689,Q57232940,,Lorenzo Raggi
Louis XIII,Q737533,Q1323065,,Louis XIII style
Louis XV,Q7738,Q130418514,,Louis XV
Louise Rice,Q111387765,Q134318682,,Louise Rice
Luigi Salerno,Q6700132,Q93261247,,Luigi Salerno
Marcus Furius Camillus,Q294862,Q666740,,Marcus Furius Camillus
Marcus Junius Brutus,Q172248,Q11935164,,Marcus Junius Brutus
Maria Luisa,Q229854,Q18091939,,Maria Luisa
Maria Mancini,Q242532,Q3847415,,Maria Mancini
Maria Walpole,Q446919,Q75463847,,Lady Maria Walpole
Mario Brunetti,Q61473962,Q3848377,,Mario Brunetti
Mario Chigi,Q98708917,Q100441578,,Mario Chigi
Mark Ritchie,Q6769447,Q110140410,,Mark Ritchie
Marriage,Q26511045,Q8445,,marriage
Mars and Venus,Q28796946,Q18573895,,Mars and Venus
Matteo Bartolini,Q20246871,Q124178247,,Matteo Bartolini
Mecklenburg,Q109057,Q37484532,,Mecklenburg
Michael Jaffé,Q6831576,Q1928009,,Michael Jaffé
Michele Battaglia,Q15731683,Q116753936,,Michele Battaglia
Mira,Q48144,Q1936996,,Mira
Moor Park,Q3862780,Q6908050,,Moor Park
Museo dell'Opera del Duomo,Q1200696,Q3328407,,Museo dell'Opera del Duomo
Niccolò Simonelli,Q97072945,Q97072934,,Niccolò Simonelli
Nicholas Stone,Q1985010,Q75956717,,Nicholas Stone
Nicholas Turner,Q110243718,Q75874439,,Nicholas Turner
Norfolk,Q23109,Q959951,,Norfolk
Olavo Redig de Campos,Q33189120,Q10340504,,Olavo Redig de Campos
Oliver Millar,Q3350664,Q133014990,,Oliver Millar
Oskar Pollak,Q89302,Q105642965,,Oskar Pollak
Palatinate,Q326359,Q65028013,,Palatinate
Palazzo Colonna,Q1971299,Q106044567,,Palazzo Colonna
Palazzo Farnese,Q848386,Q2560897,,Palazzo Farnese
Palazzo Reale,Q3890742,Q426339,,Royal Palace of Naples
Palazzo Venezia,Q1123879,Q1228270,,Palazzo Venezia
Palazzo della Ragione,Q2517428,Q3361361,,Palazzo della Ragione
Palestrina,Q30028551,Q368944,,Palestrina
Pallas Athena,Q3610098,Q37122,,Athena
Pan,Q132582,Q80174,,Pan
Pan and Syrinx,Q55412120,Q111645387,,Pan and Syrinx
Peter de Witte,Q315803,Q7177906,,Peter de Witte II
Philadelphia Museum of Art,Q510324,Q114245540,,Philadelphia Museum of Art Union
Phocion,Q175942,Q121842052,,Phocion
Piazza del Duomo,Q51150,Q51108,,piazza del Duomo
Pierre Clément,Q22970617,Q118111738,,Pierre Clément
Pietro Antonio Novelli,Q1718478,Q2374666,,Pietro Antonio Novelli
Pietro Barbarigo,Q107565971,Q3903674,,Pietro Barbarigo
Pietro Bellotti,Q1111180,Q3903693,,Pietro Bellotti
Pietro Gradenigo,Q108867130,Q723300,,Pietro Gradenigo
Pietro Romano,Q85820871,Q133280575,,Pietro Romano
Pietà (Cosmè Tura),Q48808515,Q3904404,,Pietà
Plutarch,Q41523,Q3906811,,Plutarch
Polyxena,Q750236,Q10350964,,Polyxena
Pompeo Litta Biumi,Q3907875,Q112115761,,Pompeo Litta Biumi
Portrait of Cardinal Camillo Massimi,Q2935136,Q124385170,,Portrait of cardinal Camillo Massimi
Portrait of Pope Clement IX,Q119075275,Q51212996,,Portrait of Pope Clement IX
Portrait of Three Musicians of the Medici Court,Q124218016,Q104691454,,Portrait of Three Musicians of the Medici Court
Priapus,Q206878,Q106398256,,Priapus
Prometheus,Q106777102,Q10354546,,Prometheus
Prospero Colonna,Q3924128,Q1392133,,Prospero Colonna
Provence,Q101081,Q70450,,Provence
Rebecca,Q40520,Q503607,,Rebecca
Rest on the Flight into Egypt,Q60469737,Q20175244,,Rest on the Flight into Egypt
Resurrection of Christ,Q18573503,Q677682,,Resurrection of Christ
Robert Dingley,Q19043520,Q18527207,,Robert Dingley
Roger Jones,Q19997588,Q7358423,,Roger Jones
Roger Morris,Q370192,Q20734372,,Roger Morris
Romania,Q18487313,Q218,,Romania
Saint Andrew,Q77959687,Q2391916,,Saint Andrew
Saint Joseph,Q128267,Q680071,,Saint-Joseph
Saint Paul,Q9200,Q316887,,Saint-Paul
Saint Philip Neri,Q217791,Q75426461,,Saint Philip Neri
Saint Sebastian,Q3947947,Q183332,,Saint Sebastian
Salvino Salvini,Q3946279,Q13415683,,Salvino Salvini
Samuel Hill,Q28955153,Q107435955,,Samuel Hill
San Gaetano,Q764060,Q16540121,,San Gaetano
San Giovanni Decollato,Q1255741,Q3904610,,San Giovanni Decollato
San Salvador,Q1028202,Q3110,,San Salvador
San Sebastiano,Q588559,Q56323344,,San Sebastiano
Santa Maria Assunta,Q585738,Q55189263,,Santa Maria Assunta
Santa Maria Formosa,Q1813687,Q65129859,,Santa Maria Formosa
Santa Maria Maddalena dei Pazzi,Q1784984,Q449424,,Santa Maria Maddalena dei Pazzi
Santa Maria Maggiore,Q2001128,Q1304828,,Santa Maria Maggiore
Santa Maria del Popolo,Q869513,Q3673755,,Santa Maria del Popolo
Santa Maria della Pietà,Q1559661,Q45813490,,Santa Maria della Pietà
Santa Maria della Salute,Q52531,Q3673912,,Santa Maria della Salute
Santa Maria della Vittoria,Q863593,Q2051448,,Santa Maria della Vittoria
Santa Maria di Loreto,Q461997,Q120257208,,Santa Maria di Loreto
Santa Prassede,Q733890,Q111842579,,Santa Prassede
Santi Apostoli,Q1515300,Q118984026,,Santi Apostoli
Santissima Annunziata,Q2287001,Q25112887,,Santissima Annunziata
Santo Stefano Rotondo,Q916860,Q919456,,Santo Stefano Rotondo
Scipione Maffei,Q1587432,Q3831958,,Scipione Maffei
Sebastiano Ricci,Q26878812,Q506483,,Sebastiano Ricci
Sergio Ortolani,Q59525924,Q60786953,,Sergio Ortolani
Sforza Pallavicino,Q1618919,Q47482530,,Sforza Pallavicino
Simone Buonaccorsi,Q3484548,Q109806863,,Simone Buonaccorsi
Sisera,Q976765,Q76421887,,Sisera
Solomon's Temple,Q223644,Q26627670,,Solomon's Temple
Sotheby's,Q654762,Q121057985,,Sotheby's
St. Paul's Cathedral,Q173882,Q2441417,,St. Paul's Cathedral
St. Peter's Square,Q23940745,Q21016226,,St. Peter's Square
Stefano Conti,Q4026944,Q57909808,,Stefano Conti
Stefano Landi,Q381943,Q48096814,,Stefano Landi
Strada Nuova,Q18443331,Q3499946,,Strada Nuova
Syrinx,Q846129,Q16992917,,Syrinx
Ségala,Q3510536,Q3510535,,Ségala
Teatro Farnese,Q1507811,Q111916404,,Teatro Farnese
Temple Newsam,Q2748017,Q55466781,,Temple Newsam
The Abduction of Helen,Q118876935,Q99476590,,The Abduction of Helen
The Adoration of the Magi,Q28027599,Q2489939,,The Adoration of the Magi
The Banquet of Cleopatra,Q18167078,Q16741676,,The Banquet of Cleopatra
The Baptism of Christ,Q19911646,Q134436450,,The Baptism of Christ
The Choice of Hercules,Q118993578,Q283665,,The Choice of Hercules
The Conversion of Saint Paul,Q1448203,Q19364829,,The Conversion of Saint Paul
The Death of Cleopatra,Q12899375,Q15622804,,The Death of Cleopatra
The Death of Lucretia,Q20529027,Q51162654,,The Death of Lucretia
The Entombment of Christ,Q1213151,Q6121364,,The Entombment of Christ
The Great Flood,Q118397664,Q124436027,,The Great Flood
The Holy Family,Q427390,Q17347632,,The Holy Family
The Judgment of Paris,Q20354950,Q19911452,,The Judgment of Paris
The Martyrdom of Saint Erasmus,Q59542375,Q3850323,,The Martyrdom of Saint Erasmus
The Mission,Q64547309,Q302490,,The Mission
The Mystic Marriage of Saint Catherine,Q27967889,Q27699692,,The Mystic Marriage of Saint Catherine
The Plague at Ashdod,Q26692514,Q3900760,,The Plague at Ashdod
The Presentation in the Temple,Q110803137,Q19914235,,The Presentation in the Temple
The Repentant Magdalene,Q12900942,Q64547315,,The Repentant Magdalene
The Rest on the Flight into Egypt,Q28796949,Q135412136,,The Rest on The Flight into Egypt
The Resurrection,Q23929203,Q617629,,The Resurrection
The Sacrifice of Noah,Q52289557,Q3944655,,The Sacrifice of Noah
The Vision of Constantine,Q7772874,Q110034112,,The Vision of Constantine
Thomas Baker,Q7787323,Q7787321,,Thomas Baker
"Thomas Foley, 1st Baron Foley",Q7789693,Q7789691,,"Thomas Foley, 1st Baron Foley"
Thomas Sydenham,Q559213,Q75269441,,Thomas Sydenham
Tolfa,Q243488,Q37020169,,Tolfa
Tommaso Mattei,Q7819076,Q104902519,,Tommaso Mattei
Tommaso Ruffo,Q2661419,Q108446805,,Tommaso Ruffo
Troy,Q22647,Q79862,,Troy
Turnus,Q633549,Q1325522,,Turnus
Venus Italica,Q121790161,Q4009586,,Venus Italica
"Venus, Adonis and Cupid",Q50973367,Q4245125,,"Venus, Adonis and Cupid"
Villa Medici,Q206365,Q1585931,,Villa Medici
Villa Pisani,Q514069,Q2060988,,Villa Pisani
Vincenzo Ruffo,Q1494084,Q109876830,,Vincenzo Ruffo
Vincenzo Viviani,Q318037,Q51880264,,Vincenzo Viviani
Voltaire,Q56062813,Q9068,,Voltaire
Waterloo,Q179034,Q32503,,Waterloo
Westphalia,Q8614,Q1010509,,Westphalia
Wilhelm Martin,Q18222898,Q107493957,,Wilhelm Martini
Wilhelm Richter,Q1700818,Q106548550,,Wilhelm Richter
William Bentinck,Q336463,Q16209023,,William Bentinck
William Cavendish,Q2697139,Q944531,,William Cavendish
William Henry,Q680982,Q182915,,William Henry
William Herbert,Q78454,Q954928,,William Herbert
William Morice,Q8015817,Q18880360,,William Morice
William Petty,Q3568879,Q76035631,,William Petty
William Young Ottley,Q8020693,Q75862110,,William Young Ottley
Worcestershire,Q23135,Q67575442,,Worcestershire
Xenophon,Q129772,Q105064650,,Xenophon
Zechariah,Q604259,Q41796457,,Zechariah
Zwinger,Q155107,Q244827,,Zwinger
